## {'tot': 42476544.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   7.9531e-04  -7.1606e+00   1.9146e+00   1.6913e-01   2.8600e+02   2.8600e+02
  1.6264e-03   1.7988e-03  -6.3418e+00   7.3448e-01   7.4353e-02   7.9600e+02   7.9600e+02
  3.5704e-03   3.9764e-03  -5.5486e+00   2.6506e-01   3.7692e-02   2.7020e+03   2.7020e+03
  7.8381e-03   8.8008e-03  -4.7531e+00   1.5690e-01   1.6420e-02   1.1296e+04   1.1296e+04
  1.7207e-02   1.9285e-02  -3.9685e+00   9.3271e-02   1.2037e-02   4.8063e+04   4.8063e+04
  3.7775e-02   4.2400e-02  -3.1805e+00   5.7211e-02   1.1484e-02   2.0902e+05   2.0902e+05
  8.2928e-02   9.2993e-02  -2.3956e+00   3.7941e-02   1.1458e-02   9.0547e+05   9.0547e+05
  1.8205e-01   2.0367e-01  -1.6129e+00   1.4036e-02   9.6856e-03   3.7423e+06   3.7423e+06
  3.9967e-01   4.3986e-01  -8.4412e-01  -8.3698e-04   4.5797e-03   1.3302e+07   1.3302e+07
  8.7739e-01   8.7813e-01  -1.5211e-01  -4.8094e-03   3.7130e-03   2.3116e+07   2.3116e+07
