## {'tot': 5352992.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   7.8730e-04  -7.1671e+00   3.9491e+00   7.2503e-01   6.1000e+01   6.1000e+01
  1.6264e-03   1.8064e-03  -6.3358e+00   1.0714e+00   2.0153e-01   1.2000e+02   1.2000e+02
  3.5704e-03   3.9357e-03  -5.5607e+00   5.0487e-01   6.7922e-02   4.0600e+02   4.0600e+02
  7.8381e-03   8.7586e-03  -4.7586e+00   2.0680e-01   5.1393e-02   1.4750e+03   1.4750e+03
  1.7207e-02   1.9254e-02  -3.9701e+00   1.0452e-01   1.5255e-02   6.1010e+03   6.1010e+03
  3.7775e-02   4.2342e-02  -3.1820e+00   8.2708e-02   1.8389e-02   2.6889e+04   2.6889e+04
  8.2928e-02   9.2974e-02  -2.3960e+00   4.9097e-02   2.0203e-02   1.1466e+05   1.1466e+05
  1.8205e-01   2.0367e-01  -1.6133e+00   2.0877e-02   1.5694e-02   4.7211e+05   4.7211e+05
  3.9967e-01   4.3956e-01  -8.4499e-01  -1.1621e-03   6.6268e-03   1.6602e+06   1.6602e+06
  8.7739e-01   8.7974e-01  -1.5024e-01  -7.2808e-03   5.8224e-03   2.9168e+06   2.9168e+06
