logM Fi dFi
9.1851 0.003460465736032755 0.0003725022716976253
9.4351 0.0030807139425848068 0.0003521745745566709
9.6851 0.002349459432225974 0.0002950158234584675
9.9351 0.00162910630442084 0.0002328158624589297
10.1851 0.0009852742048440909 0.00016560726362887596
10.4351 0.0006517480680141685 0.00013147288786135336
10.6851 0.000377327828850308 9.328964172718069e-05
10.9351 0.00019895467339379878 6.13458984049493e-05
11.1851 8.496472789496447e-05 3.307125394430409e-05
11.4351 2.0581517937289535e-05 1.146268980854413e-05
11.6851 3.1663873749676204e-06 3.10566309647042e-06
11.9351 5.2773122916127e-07 6.485931691137329e-07
