## {'tot': 58341602.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   7.8800e-04  -7.1694e+00   1.7555e+00   1.6072e-01   3.7100e+02   3.7100e+02
  1.6264e-03   1.8051e-03  -6.3402e+00   4.7634e-01   5.7677e-02   9.3800e+02   9.3800e+02
  3.5704e-03   3.9516e-03  -5.5548e+00   2.5000e-01   3.2811e-02   3.7110e+03   3.7110e+03
  7.8381e-03   8.7895e-03  -4.7544e+00   1.3119e-01   1.8479e-02   1.5398e+04   1.5398e+04
  1.7207e-02   1.9285e-02  -3.9683e+00   9.0250e-02   1.6904e-02   6.7494e+04   6.7494e+04
  3.7775e-02   4.2365e-02  -3.1815e+00   5.5987e-02   1.4563e-02   2.9374e+05   2.9374e+05
  8.2928e-02   9.2937e-02  -2.3962e+00   2.4802e-02   1.2578e-02   1.2664e+06   1.2664e+06
  1.8205e-01   2.0343e-01  -1.6140e+00   1.6147e-03   4.3333e-03   5.2167e+06   5.2167e+06
  3.9967e-01   4.4026e-01  -8.4316e-01  -2.6111e-03   3.1325e-03   1.8716e+07   1.8716e+07
  8.7739e-01   8.6955e-01  -1.6138e-01  -1.0387e-03   1.4497e-03   3.1562e+07   3.1562e+07
