logM Fi dFi
9.47505 0.001142244791013838 0.00018488860043018107
9.72505 0.0008667875841602805 0.00016141830301807085
9.97505 0.0005755865721948999 0.00012618910203553212
10.22505 0.00030058321695301555 8.895111303399321e-05
10.47505 0.00014389622088176274 4.602076392870457e-05
10.72505 5.9593384405578505e-05 2.3672417598573204e-05
10.97505 2.529085094285527e-05 1.2867158799199919e-05
11.22505 1.8604763911985484e-05 1.113159598668769e-05
11.47505 9.011682519867972e-06 6.9440454322501165e-06
11.72505 1.744196616748639e-06 2.1260780915235736e-06
11.97505 5.813988722495464e-07 1.6522358903392706e-06
