## {'tot': 1850888.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   7.9890e-04  -7.1533e+00   4.3903e+00   1.2726e+00   2.3000e+01   2.3000e+01
  1.6264e-03   1.6148e-03  -6.4483e+00   1.2942e+00   3.2846e-01   4.6000e+01   4.6000e+01
  3.5704e-03   3.9523e-03  -5.5583e+00   6.2734e-01   1.7246e-01   1.5400e+02   1.5400e+02
  7.8381e-03   8.8116e-03  -4.7534e+00   2.6723e-01   8.2618e-02   5.4800e+02   5.4800e+02
  1.7207e-02   1.9132e-02  -3.9775e+00   1.4749e-01   4.9594e-02   2.2520e+03   2.2520e+03
  3.7775e-02   4.2377e-02  -3.1814e+00   9.3601e-02   2.7411e-02   9.5750e+03   9.5750e+03
  8.2928e-02   9.3054e-02  -2.3962e+00   3.2903e-02   2.7293e-02   4.0200e+04   4.0200e+04
  1.8205e-01   2.0315e-01  -1.6164e+00   3.7815e-03   1.0257e-02   1.6686e+05   1.6686e+05
  3.9967e-01   4.4000e-01  -8.4384e-01  -2.9223e-03   4.2583e-03   5.9973e+05   5.9973e+05
  8.7739e-01   8.6580e-01  -1.6554e-01  -3.4542e-03   3.5356e-03   9.8972e+05   9.8972e+05
