## {'tot': 12545040.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   7.8886e-04  -7.1682e+00   2.3496e+00   3.2827e-01   9.7000e+01   9.7000e+01
  1.6264e-03   1.7882e-03  -6.3487e+00   7.7097e-01   1.0220e-01   2.4100e+02   2.4100e+02
  3.5704e-03   3.9386e-03  -5.5592e+00   3.7632e-01   6.3509e-02   8.8100e+02   8.8100e+02
  7.8381e-03   8.8449e-03  -4.7483e+00   1.6601e-01   2.9823e-02   3.4060e+03   3.4060e+03
  1.7207e-02   1.9235e-02  -3.9710e+00   1.3392e-01   2.8250e-02   1.5107e+04   1.5107e+04
  3.7775e-02   4.2282e-02  -3.1836e+00   8.5604e-02   2.5062e-02   6.4907e+04   6.4907e+04
  8.2928e-02   9.2885e-02  -2.3967e+00   4.1930e-02   2.1151e-02   2.7621e+05   2.7621e+05
  1.8205e-01   2.0344e-01  -1.6143e+00   7.7183e-03   8.7699e-03   1.1311e+06   1.1311e+06
  3.9967e-01   4.4017e-01  -8.4340e-01  -5.3553e-03   4.6652e-03   4.0235e+06   4.0235e+06
  8.7739e-01   8.6811e-01  -1.6291e-01  -1.8459e-03   2.6429e-03   6.7594e+06   6.7594e+06
