## {'tot': 301864.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   6.8116e-04  -7.3381e+00   7.6273e+00   3.6438e+00   6.0000e+00   6.0000e+00
  1.6264e-03   1.8953e-03  -6.2805e+00   1.1259e+00   7.8366e-01   7.0000e+00   7.0000e+00
  3.5704e-03   3.9370e-03  -5.5616e+00   5.2452e-01   3.3028e-01   2.3000e+01   2.3000e+01
  7.8381e-03   8.7158e-03  -4.7649e+00   1.3476e-01   1.1715e-01   7.9000e+01   7.9000e+01
  1.7207e-02   1.9131e-02  -3.9788e+00   1.2228e-01   6.8368e-02   3.5300e+02   3.5300e+02
  3.7775e-02   4.2247e-02  -3.1868e+00   4.5089e-02   3.6809e-02   1.4860e+03   1.4860e+03
  8.2928e-02   9.3115e-02  -2.3962e+00   3.6518e-02   2.9987e-02   6.6010e+03   6.6010e+03
  1.8205e-01   2.0348e-01  -1.6148e+00   3.5508e-02   2.1776e-02   2.7587e+04   2.7587e+04
  3.9967e-01   4.4012e-01  -8.4378e-01  -2.1369e-03   9.7660e-03   9.7439e+04   9.7439e+04
  8.7739e-01   8.6820e-01  -1.6321e-01  -9.9412e-03   7.9124e-03   1.6174e+05   1.6174e+05
