## {'tot': 3995964.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   7.5568e-04  -7.2168e+00   4.2189e+00   8.7198e-01   4.8000e+01   4.8000e+01
  1.6264e-03   1.7632e-03  -6.3635e+00   1.2422e+00   2.1931e-01   9.7000e+01   9.7000e+01
  3.5704e-03   3.9124e-03  -5.5664e+00   6.2517e-01   8.2318e-02   3.2700e+02   3.2700e+02
  7.8381e-03   8.7123e-03  -4.7651e+00   2.6015e-01   5.1452e-02   1.1630e+03   1.1630e+03
  1.7207e-02   1.9324e-02  -3.9663e+00   1.2712e-01   2.8179e-02   4.7100e+03   4.7100e+03
  3.7775e-02   4.2337e-02  -3.1818e+00   8.7880e-02   2.4411e-02   2.0639e+04   2.0639e+04
  8.2928e-02   9.3060e-02  -2.3953e+00   4.1166e-02   2.0497e-02   8.8202e+04   8.8202e+04
  1.8205e-01   2.0354e-01  -1.6142e+00   1.7141e-02   1.3200e-02   3.6130e+05   3.6130e+05
  3.9967e-01   4.3989e-01  -8.4420e-01  -1.5255e-04   8.2219e-03   1.2848e+06   1.2848e+06
  8.7739e-01   8.7066e-01  -1.6026e-01  -5.6454e-03   5.4007e-03   2.1546e+06   2.1546e+06
