logM Fi dFi
9.59547 0.00041738713642802596 0.000103828240777687
9.84547 0.00027759234616430735 8.156918782804548e-05
10.09547 0.00015173754120170182 5.337684354114815e-05
10.34547 6.114796436486492e-05 2.6445785445063087e-05
10.59547 3.0088680877949393e-05 1.604877284716096e-05
10.84547 9.058957683683694e-06 6.477733151797929e-06
11.09547 6.794218262762767e-06 5.683314274181798e-06
11.34547 8.73542348069499e-06 7.878305995511922e-06
11.59547 3.235342029887032e-06 3.6478173991971212e-06
11.84547 3.235342029887032e-06 3.820620352648687e-06
