## {'tot': 1737248.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.1800e-04  -7.1266e+00   5.4709e+00   1.2405e+00   2.6000e+01   2.6000e+01
  1.6264e-03   1.7217e-03  -6.3864e+00   2.1508e+00   5.1676e-01   5.9000e+01   5.9000e+01
  3.5704e-03   3.9171e-03  -5.5626e+00   1.1980e+00   2.6315e-01   1.9100e+02   1.9100e+02
  7.8381e-03   8.7018e-03  -4.7657e+00   4.4210e-01   6.7189e-02   5.7400e+02   5.7400e+02
  1.7207e-02   1.9138e-02  -3.9764e+00   1.7799e-01   4.7958e-02   2.1410e+03   2.1410e+03
  3.7775e-02   4.2240e-02  -3.1844e+00   1.1918e-01   4.3208e-02   9.1340e+03   9.1340e+03
  8.2928e-02   9.2995e-02  -2.3966e+00   6.7532e-02   3.5175e-02   3.9070e+04   3.9070e+04
  1.8205e-01   2.0328e-01  -1.6156e+00   2.7020e-02   2.5374e-02   1.6313e+05   1.6313e+05
  3.9967e-01   4.4013e-01  -8.4378e-01  -3.9479e-03   8.3777e-03   5.7516e+05   5.7516e+05
  8.7739e-01   8.6448e-01  -1.6741e-01  -7.1155e-03   6.6327e-03   9.1266e+05   9.1266e+05
