## {'tot': 13348944.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.2099e-04  -7.1249e+00   3.3885e+00   4.0180e-01   1.3500e+02   1.3500e+02
  1.6264e-03   1.7892e-03  -6.3514e+00   1.6913e+00   1.6699e-01   3.8800e+02   3.8800e+02
  3.5704e-03   3.9568e-03  -5.5543e+00   7.7391e-01   9.2036e-02   1.1830e+03   1.1830e+03
  7.8381e-03   8.7294e-03  -4.7617e+00   3.8186e-01   4.2235e-02   4.2200e+03   4.2200e+03
  1.7207e-02   1.9215e-02  -3.9723e+00   1.7715e-01   3.2944e-02   1.6377e+04   1.6377e+04
  3.7775e-02   4.2364e-02  -3.1816e+00   1.0455e-01   2.9043e-02   6.9100e+04   6.9100e+04
  8.2928e-02   9.2913e-02  -2.3963e+00   6.2006e-02   2.6524e-02   2.9697e+05   2.9697e+05
  1.8205e-01   2.0374e-01  -1.6126e+00   2.6686e-02   2.2781e-02   1.2510e+06   1.2510e+06
  3.9967e-01   4.4010e-01  -8.4372e-01  -3.6861e-03   8.7643e-03   4.4602e+06   4.4602e+06
  8.7739e-01   8.6437e-01  -1.6765e-01  -6.6283e-03   6.3068e-03   6.9660e+06   6.9660e+06
