## {'tot': 1278915312.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.3009e-04  -7.1146e+00   7.5928e-01   3.2752e-02   5.1510e+03   5.1510e+03
  1.6264e-03   1.8105e-03  -6.3349e+00   4.2036e-01   2.0139e-02   1.9679e+04   1.9679e+04
  3.5704e-03   3.9868e-03  -5.5449e+00   2.4029e-01   1.4030e-02   7.9949e+04   7.9949e+04
  7.8381e-03   8.7792e-03  -4.7554e+00   1.4033e-01   1.2687e-02   3.3767e+05   3.3767e+05
  1.7207e-02   1.9300e-02  -3.9677e+00   8.0706e-02   1.2528e-02   1.4511e+06   1.4511e+06
  3.7775e-02   4.2420e-02  -3.1804e+00   4.9827e-02   1.1000e-02   6.3612e+06   6.3612e+06
  8.2928e-02   9.3073e-02  -2.3948e+00   3.1192e-02   1.1009e-02   2.7941e+07   2.7941e+07
  1.8205e-01   2.0380e-01  -1.6118e+00   1.6818e-02   1.0231e-02   1.1808e+08   1.1808e+08
  3.9967e-01   4.4062e-01  -8.4229e-01  -2.7654e-03   3.9384e-03   4.2413e+08   4.2413e+08
  8.7739e-01   8.6586e-01  -1.6591e-01  -3.2059e-03   2.5988e-03   6.7488e+08   6.7488e+08
