logM Fi dFi
8.605 0.014059783744530773 0.0010711581261952587
8.855 0.012105060771164682 0.0009224603187894238
9.105 0.009908148241933038 0.0007559347666229398
9.355 0.007815820661464145 0.0006038152049299223
9.605 0.006017320925411196 0.00048053816067145474
9.855 0.00468074589360285 0.00039584606646673505
10.105 0.0037664629730713734 0.000346779001852781
10.355 0.003467168564108155 0.0003541456776759435
10.605 0.002991577448495369 0.0003518028259287011
10.855 0.0024298879412630262 0.0003347582893535484
11.105 0.0012655096926937922 0.00021099080028759507
11.355 0.0005370899667696117 0.00011215048600700806
11.605 7.379862138819089e-05 2.267356343486117e-05
11.855 4.09992341045505e-06 4.260773306321792e-06
