## {'tot': 203575842.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.3085e-04  -7.1134e+00   1.6319e+00   1.0405e-01   1.2340e+03   1.2340e+03
  1.6264e-03   1.7970e-03  -6.3435e+00   8.8049e-01   4.4302e-02   4.1450e+03   4.1450e+03
  3.5704e-03   3.9660e-03  -5.5506e+00   4.6991e-01   3.3739e-02   1.5051e+04   1.5051e+04
  7.8381e-03   8.7343e-03  -4.7609e+00   2.5862e-01   2.5225e-02   5.9122e+04   5.9122e+04
  1.7207e-02   1.9255e-02  -3.9701e+00   1.3116e-01   2.0812e-02   2.4039e+05   2.4039e+05
  3.7775e-02   4.2385e-02  -3.1812e+00   7.6414e-02   1.8156e-02   1.0306e+06   1.0306e+06
  8.2928e-02   9.3028e-02  -2.3953e+00   5.0155e-02   1.9090e-02   4.4998e+06   4.4998e+06
  1.8205e-01   2.0378e-01  -1.6120e+00   2.3378e-02   1.8610e-02   1.8889e+07   1.8889e+07
  3.9967e-01   4.4062e-01  -8.4232e-01  -3.6729e-03   5.8723e-03   6.7615e+07   6.7615e+07
  8.7739e-01   8.6553e-01  -1.6642e-01  -4.9059e-03   4.2588e-03   1.0696e+08   1.0696e+08
