## {'tot': 68129464.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.1546e-04  -7.1338e+00   2.4176e+00   2.0886e-01   5.3700e+02   5.3700e+02
  1.6264e-03   1.7855e-03  -6.3505e+00   1.1247e+00   8.0969e-02   1.5650e+03   1.5650e+03
  3.5704e-03   3.9651e-03  -5.5510e+00   6.5178e-01   6.0689e-02   5.6540e+03   5.6540e+03
  7.8381e-03   8.7104e-03  -4.7640e+00   3.2089e-01   2.9822e-02   2.0695e+04   2.0695e+04
  1.7207e-02   1.9245e-02  -3.9707e+00   1.4771e-01   2.4713e-02   8.1524e+04   8.1524e+04
  3.7775e-02   4.2359e-02  -3.1818e+00   8.6597e-02   2.4304e-02   3.4813e+05   3.4813e+05
  8.2928e-02   9.2957e-02  -2.3960e+00   5.5109e-02   2.3545e-02   1.5142e+06   1.5142e+06
  1.8205e-01   2.0378e-01  -1.6121e+00   2.5199e-02   2.0710e-02   6.3571e+06   6.3571e+06
  3.9967e-01   4.4053e-01  -8.4260e-01  -3.9112e-03   6.0382e-03   2.2754e+07   2.2754e+07
  8.7739e-01   8.6466e-01  -1.6735e-01  -5.5793e-03   4.7480e-03   3.5629e+07   3.5629e+07
