## {'tot': 584888402.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.3023e-04  -7.1143e+00   1.0559e+00   4.1074e-02   2.7600e+03   2.7600e+03
  1.6264e-03   1.8052e-03  -6.3381e+00   5.8398e-01   2.8367e-02   1.0019e+04   1.0019e+04
  3.5704e-03   3.9793e-03  -5.5469e+00   3.3369e-01   1.9967e-02   3.9233e+04   3.9233e+04
  7.8381e-03   8.7567e-03  -4.7582e+00   1.8452e-01   1.7209e-02   1.6006e+05   1.6006e+05
  1.7207e-02   1.9289e-02  -3.9683e+00   9.8127e-02   1.5271e-02   6.7334e+05   6.7334e+05
  3.7775e-02   4.2409e-02  -3.1807e+00   5.9200e-02   1.3159e-02   2.9253e+06   2.9253e+06
  8.2928e-02   9.3054e-02  -2.3950e+00   3.7667e-02   1.3549e-02   1.2820e+07   1.2820e+07
  1.8205e-01   2.0378e-01  -1.6120e+00   1.9293e-02   1.1841e-02   5.4111e+07   5.4111e+07
  3.9967e-01   4.4052e-01  -8.4254e-01  -3.5344e-03   5.0076e-03   1.9418e+08   1.9418e+08
  8.7739e-01   8.6572e-01  -1.6615e-01  -3.6015e-03   3.3905e-03   3.0790e+08   3.0790e+08
