## {'tot': 14666528.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.1336e-04  -7.1371e+00   2.5615e+00   2.7278e-01   1.2000e+02   1.2000e+02
  1.6264e-03   1.7638e-03  -6.3645e+00   7.7235e-01   9.0318e-02   2.8300e+02   2.8300e+02
  3.5704e-03   3.9692e-03  -5.5521e+00   2.5447e-01   4.4575e-02   9.3500e+02   9.3500e+02
  7.8381e-03   8.7214e-03  -4.7624e+00   2.1372e-01   2.7588e-02   4.1250e+03   4.1250e+03
  1.7207e-02   1.9262e-02  -3.9698e+00   1.1202e-01   2.3135e-02   1.6972e+04   1.6972e+04
  3.7775e-02   4.2348e-02  -3.1818e+00   7.0268e-02   2.2557e-02   7.3717e+04   7.3717e+04
  8.2928e-02   9.3052e-02  -2.3950e+00   4.3730e-02   2.1365e-02   3.1806e+05   3.1806e+05
  1.8205e-01   2.0375e-01  -1.6126e+00   1.6925e-02   1.2636e-02   1.3153e+06   1.3153e+06
  3.9967e-01   4.4016e-01  -8.4345e-01  -2.0891e-03   6.2757e-03   4.7297e+06   4.7297e+06
  8.7739e-01   8.7114e-01  -1.5996e-01  -4.4754e-03   4.5703e-03   7.8076e+06   7.8076e+06
