logM Fi dFi
9.295 0.002256708649054965 0.0002393965056849365
9.545 0.0018534432327149072 0.0002163081800987182
9.795 0.0014422308859490265 0.0001908273405164301
10.045 0.0009511662076447252 0.00014709032218753734
10.295 0.0005850405514753678 0.00010826565045433576
10.545 0.00030365614510188544 6.92778909662149e-05
10.795 0.00012493902213494393 3.582689662324308e-05
11.045 4.0197772339068915e-05 1.541384963150192e-05
11.295 1.3037115353211538e-05 7.384674471900776e-06
11.545 7.604983956040065e-06 5.168335553399848e-06
12.045 5.432131397171474e-07 6.69736395359132e-07
