## {'tot': 97315200.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.0310e-04  -7.1509e+00   1.4660e+00   1.0285e-01   5.5200e+02   5.5200e+02
  1.6264e-03   1.8008e-03  -6.3427e+00   5.2047e-01   4.1644e-02   1.6090e+03   1.6090e+03
  3.5704e-03   3.9798e-03  -5.5478e+00   2.0323e-01   2.3722e-02   5.9370e+03   5.9370e+03
  7.8381e-03   8.7698e-03  -4.7563e+00   1.4415e-01   1.6387e-02   2.5890e+04   2.5890e+04
  1.7207e-02   1.9287e-02  -3.9684e+00   8.3118e-02   1.5754e-02   1.1063e+05   1.1063e+05
  3.7775e-02   4.2383e-02  -3.1812e+00   5.2986e-02   1.5098e-02   4.8378e+05   4.8378e+05
  8.2928e-02   9.3095e-02  -2.3945e+00   3.0610e-02   1.4195e-02   2.0977e+06   2.0977e+06
  1.8205e-01   2.0366e-01  -1.6127e+00   1.0869e-02   1.0828e-02   8.7450e+06   8.7450e+06
  3.9967e-01   4.4013e-01  -8.4343e-01  -1.0201e-03   3.3486e-03   3.1386e+07   3.1386e+07
  8.7739e-01   8.7067e-01  -1.6046e-01  -3.7728e-03   3.2106e-03   5.2000e+07   5.2000e+07
