## {'tot': 1663488.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   7.4657e-04  -7.2195e+00   5.5426e+00   9.7683e-01   2.5000e+01   2.5000e+01
  1.6264e-03   1.7621e-03  -6.3665e+00   1.1493e+00   2.8350e-01   3.9000e+01   3.9000e+01
  3.5704e-03   3.9680e-03  -5.5508e+00   6.5758e-01   1.6749e-01   1.4000e+02   1.4000e+02
  7.8381e-03   8.8128e-03  -4.7512e+00   2.3577e-01   5.2815e-02   4.7900e+02   4.7900e+02
  1.7207e-02   1.9215e-02  -3.9725e+00   1.1026e-01   4.5566e-02   1.9310e+03   1.9310e+03
  3.7775e-02   4.2142e-02  -3.1872e+00   8.2246e-02   3.4707e-02   8.5080e+03   8.5080e+03
  8.2928e-02   9.2968e-02  -2.3970e+00   4.3010e-02   2.9346e-02   3.6570e+04   3.6570e+04
  1.8205e-01   2.0354e-01  -1.6144e+00   1.9674e-02   2.0879e-02   1.5200e+05   1.5200e+05
  3.9967e-01   4.3948e-01  -8.4523e-01   7.5300e-05   5.4863e-03   5.4480e+05   5.4480e+05
  8.7739e-01   8.6719e-01  -1.6425e-01  -7.1580e-03   5.7272e-03   8.7742e+05   8.7742e+05
