Mhalo Mcent_50 Mcent_16 Mcent_84 Msat_50 Msat_16 Msat_84
279105261251.5439 1385200353.181661 1243646116.186424 1499372480.7430363 26351269.00532403 17545602.035298795 35836498.297916286
306704297533.2072 1658456510.0072365 1500109367.3355472 1816449146.7338662 33973852.80832823 23620831.814263444 44290725.82821009
337032436090.69495 1975598065.9922113 1791437431.70937 2209031326.133259 43378607.95932119 31367297.295163807 54681326.78615506
370359541391.59155 2347638592.7193193 2124050321.2188168 2686915541.4206915 54919481.22046829 41155676.868302554 67380154.80752404
406982163173.3949 2789104057.434947 2505947159.4699435 3259115954.8029876 69010621.3923436 53430456.91612546 82817560.50764278
447226175188.95013 3319222043.158743 2947164864.1933203 3932693482.786516 86133745.11625142 68723151.24211659 101487563.89684758
491449674881.5094 3961065452.3579783 3460033328.3384905 4712934421.031097 106865969.08145662 87675612.32178767 123976841.54821432
540046169791.1566 4728661417.831676 4057838417.594234 5612631194.214066 132013030.23781826 111107230.94952945 151120327.4906853
593448079045.765 5628578763.388063 4755684009.088361 6649380948.290429 162624436.3953709 140038548.96255684 184011816.49898922
652130581093.2855 6660666123.523524 5571427981.098001 7842748540.415852 200020695.96777466 175723015.62835628 224027063.86219645
716615841913.055 7813854199.704021 6526174382.40919 9214184057.862337 245867835.39246416 219701345.75911322 272901490.7304368
787477661329.4484 9066894204.91663 7644291009.300218 10786057624.977392 302232022.37096673 273824817.662252 332804901.8044327
865346578771.4716 10428961743.21288 8950038802.4927 12575938937.423874 371401795.22767395 340017334.8454783 406284928.3383584
950915483910.1057 11934876380.059593 10467747892.851194 14594966652.769844 456004850.75746393 420333477.67744917 496407880.172101
1044945782097.7721 13636839522.733202 12222005521.150284 16845557275.241621 559165157.6669348 517034936.6799318 606945015.4766536
1148274169470.935 15611891643.41248 14236147602.646852 19316007542.908833 684586516.1200918 632555194.2699586 742540310.5982938
1261820078001.7075 17963637410.039722 16530556539.561348 21980664361.426064 836705273.802327 769586368.0391155 908896624.7603146
1386593856745.7515 20761445163.31013 19124669198.21382 24857239006.19722 1021305581.7482189 932314287.3197922 1112837725.1554785
1523705762084.4607 24043931061.273727 22033032357.483322 28006326570.454372 1245743052.250297 1126519944.476049 1362593235.5835807
1674375836957.9268 27835819699.205494 25258645469.16001 31519460686.116394 1519134001.5390453 1359468670.4373174 1668183878.5767033
1839944766995.7312 32137763173.686535 28785880864.07028 35532557420.744194 1852798751.5765078 1640319730.4281073 2041815475.106539
