z MTOT_50_atMh MTOT_16_atMh MTOT_84_atMh
0.35 0.027406858081044254 0.02302609696164257 0.03041951032157161
0.65 0.023818124370375303 0.021800493594424132 0.026263423542143567
0.9500000000000001 0.028952187263052098 0.02538165005532512 0.031990688513948075
1.3 0.02108149328541682 0.01924671245285221 0.02260859300520447
1.75 0.01992592709570058 0.01835769971638647 0.02179788150656243
2.25 0.010977379102425727 0.009850416166999653 0.011876115183316995
2.75 0.014883744017180733 0.013172224212911424 0.016553393187549954
3.25 0.013323227838822555 0.011842871776225374 0.01632033943848107
4.0 0.015205117029797951 0.012754782953549142 0.018030879329713805
5.0 0.017315428799837315 0.012683142266030876 0.023856640349308796
