Mhalo Mcent_50 Mcent_16 Mcent_84 Msat_50 Msat_16 Msat_84
286507905667.6695 861815080.9636022 786837235.3565475 921759946.4552592 64940893.11774424 55823214.29788342 73106090.31035785
314755707512.82135 1043637037.5455358 951747920.8622807 1111458665.370232 81806246.28778265 72169791.93430212 90730017.36591212
345788557495.559 1262983034.7059853 1149807794.1324801 1340514773.956117 100867678.15796451 90151280.0136775 111596150.33502741
379881043110.1983 1527261905.4110694 1387334125.5790355 1617041081.098753 122746356.23708126 110280367.27005634 136301393.802345
417334824378.4681 1845267750.7562742 1671752627.5605586 1950812588.844891 148304332.38585445 133306003.4109493 165547763.9894481
458481303023.27875 2227415434.7969074 2011760708.7839909 2353604303.1303134 178736196.1447175 160311391.98357493 200158647.14169815
503684554805.55804 2686082687.562191 2417926312.558485 2839533182.402332 215427394.50589862 192570372.2049295 241067182.01300877
553344550970.2518 3236104335.4840293 2903969577.8919086 3425379705.2254176 259432296.11075854 231009695.58049124 289258998.9015088
607900697305.8213 3895083492.7401023 3486826318.126336 4131189687.14573 311778530.2354569 276540125.4243324 345800743.17523164
667835722131.7775 4683828139.078615 4187243611.5641375 4980910107.618302 373509134.85794586 330120538.6958642 411830791.208792
733679947616.3448 5626870163.692598 5030684740.291096 6003111635.165032 445617711.7445192 392720173.84891653 488525060.7612925
806015982218.0126 6752685119.894386 6046290152.376624 7231324430.136183 529143217.6491543 465350109.5866796 577176399.6472414
885483875771.112 8093170951.5264845 7261305137.544696 8703382955.112244 625648281.8393915 549267189.7996292 679544354.5835317
972786782829.0205 9684421661.196035 8703393036.838863 10462685551.28831 736948649.6043781 645809072.3644402 797684419.2180312
1068697184375.8835 11567053303.63171 10400514191.884392 12558945459.026995 865004769.2176348 756286842.6258942 933893826.2591401
1174063722958.381 13786156467.484539 12379120645.50754 15048593015.78456 1011881628.3687397 881882808.0418103 1090708791.4838247
1289818711716.6267 16389150268.378033 14663925938.233849 17992113699.370293 1179819498.3058584 1023821757.7906932 1270923665.3540184
1416986383756.3772 19417826756.130245 17283983035.020172 21442473786.073246 1371685522.4346097 1184447403.5121417 1477701222.7261605
1556691954855.1965 22906961790.871735 20266169483.12872 25444791468.995987 1590775790.5475416 1366846109.5390468 1714483106.8718147
1710171579692.1445 26879528162.589268 23629305678.498325 30031440177.113766 1840713561.6493149 1574754919.766907 1984895608.7037857
1878783289696.3662 31337901365.462395 27378072112.499573 35211958620.99341 2125419512.462153 1812726383.6800184 2292629981.02676
2064019009295.9675 36262979257.76892 31502016192.27989 40969488303.71977 2449183059.49519 2086054199.594922 2641729025.042351
2267517756890.216 41654806748.43097 36001729049.423615 47294850896.92592 2817224888.631382 2399625592.296121 3038676240.6968255
2491080147351.073 47508090818.713875 40871909491.50124 54157943588.6445 3235512914.7701144 2758247080.9987645 3491986515.554922
2736684324376.435 53790949607.65879 46086249642.32669 61479817773.28688 3710623961.825059 3166749403.6627684 4012132063.123689
3006503463668.835 60431859815.30129 51587303864.8557 69109221811.05028 4249706648.355386 3629693814.566553 4612074823.1326
3302925001813.0347 67321893635.21353 57288638027.19663 76829488577.44934 4860574748.715542 4151508807.6633825 5307089802.964137
3628571760994.733 74415197135.56003 63155233250.86118 84556810608.7721 5552682799.949445 4739435909.796584 6110320162.973955
3986325156478.3115 81705047328.25293 69185273994.3352 92298609724.42342 6336921976.980506 5402854709.619167 7033500654.8403635
4379350692189.5586 89201966678.93181 75393931533.30675 100117606323.14436 7225376248.462052 6152607236.150309 8087411315.495374
4811125969996.018 96946701594.54282 81825351750.1325 108165759315.7124 8231308453.175409 7001233712.116921 9280589276.23696
5285471460518.541 105013682994.32086 88553724325.75185 116689497104.96484 9369205901.462128 7963022820.376619 10619232857.191076
5806584307743.478 113418620236.93828 95582181452.41557 125764471531.88388 10655628269.144493 9052615693.937567 12118338947.67111
6379075466547.904 122138383704.87437 102858135805.56146 135338819291.31831 12108991810.43392 10285086989.464878 13799994538.587954
7008010501741.415 131148069014.86829 110304255638.17601 145317745399.61823 13749090745.958118 11676088381.977942 15689912709.112162
7698954409626.335 140425158132.19672 117811418558.92776 155547027998.87723 15596743187.309942 13241257881.443813 17818109171.84361
8458020858669.607 149953070438.52563 125236910565.09904 165812271108.51395 17673472705.6664 14995946392.96361 20219049708.345238
9291926284982.705 159702322167.3948 132463319135.27211 176020058912.22357 20003385103.78671 16960156865.230896 22925984206.91967
10208049321260.82 169638579862.86542 139401939452.2276 186211296894.6377 22612369106.569244 19158083384.733658 25970487938.133892
11214496085026.56 179742457995.69736 145981708743.56232 196529062108.7092 25526110166.220104 21615763244.546 29383289020.108246
12320171903865.957 190024713055.0862 152169262180.9007 207276620371.36435 28768523307.938393 24360695148.972164 33192018107.77828
13534860112303.412 200538149872.39853 157988922968.83548 218954889361.53473 32360759419.39261 27421584965.532276 37420260603.0386
14869308617531.307 211280825587.1315 163440685622.17322 231817215799.26935 36334166680.41091 30832058996.968697 42112353135.87959
16335324999954.049 222195751043.83777 168517751437.38773 245826874556.42764 40731400631.80737 34630789366.317825 47337258593.581375
17945880990021.96 233230780469.1763 173290323709.64157 260852737989.04938 45600403657.99013 38859336083.30498 53180308622.155785
19715227245796.227 244351599997.66632 177954126755.6621 276628759545.7735 50994961991.813576 43561597738.68889 59747990100.36301
21659019446830.28 255555523624.03787 182872591748.3654 292720515368.16626 56975321465.661865 48782956281.24909 67171179071.82705
