z MTOT_50_atMh MTOT_16_atMh MTOT_84_atMh
0.35 0.00825529099006615 0.005647788848451516 0.010655178215742061
0.65 0.008652266638160782 0.00790033591966183 0.009477180604991382
0.9500000000000001 0.018243341081471152 0.016351285520116433 0.02042271529285669
1.3 0.011213613486534062 0.009309364398897528 0.013144309427319896
1.75 0.012263289510077902 0.009520930527838296 0.0172371443590464
2.25 0.011198270564078147 0.00810904739938324 0.013802213007838056
2.75 0.03375966454222696 0.024957325142745422 0.04466984656684192
3.25 0.03389463593148176 0.02274743296713341 0.06777383709973359
4.0 0.043998227540113434 0.020596244554674122 0.12340231967077757
5.0 0.26539913906027934 0.13207480715212247 0.5707635136792308
