z MTOT_50_atMh MTOT_16_atMh MTOT_84_atMh
0.35 0.012747619897585945 0.007998667285820524 0.01710217130877005
0.65 0.015156812505025184 0.014122398512109738 0.016184366244822487
0.9500000000000001 0.01923541897959511 0.017236528310670015 0.02181830833462948
1.3 0.018186895092133858 0.015711336261898814 0.02116239808380938
1.75 0.018192613973296426 0.013965858413956544 0.02444450375208434
2.25 0.018946385931612214 0.01565665932954782 0.020924903542600154
2.75 0.02975793710010775 0.02470813053361889 0.03426735400433219
3.25 0.025610950722542047 0.01827252692838557 0.05337619618174104
4.0 0.06702266605186778 0.041714988253241395 0.09750588747107353
5.0 0.10100875389478611 0.058194314970267245 0.21628208799780219
