Mhalo Mcent_50 Mcent_16 Mcent_84 Msat_50 Msat_16 Msat_84
274066528121.61694 1188139967.0550637 1071420682.8881087 1296628125.642421 15704782.066757843 7275445.517590255 25283408.603183206
301222740774.5541 1462526317.790296 1321932964.3894796 1594001889.4336689 22753195.02504365 11308879.693091344 35412670.72195691
331069759527.4039 1791879995.0164127 1621415887.579253 1956924079.085701 32344363.022649996 17185621.102286078 48902976.08145827
363874206149.5516 2185562102.937343 1978308201.6114914 2395579276.3796463 45252875.80208496 25696045.21986359 66736729.93831266
399929120950.13245 2654068589.799762 2402164862.499853 2920666252.6966386 62484185.06863275 37936226.53893162 90180739.54780672
439556580490.9219 3208983282.5227857 2903668493.4674 3542944481.6133056 85344563.46147463 55418382.72769119 120870465.42565508
483110574678.4642 3862922266.471261 3494559959.890965 4272918917.763355 115518053.43199098 80149744.14192541 160897010.1666325
530980168936.35645 4630278685.133694 4187310720.208782 5124604841.062834 155020957.2531083 114033347.35030037 212690918.96649647
583592979705.1693 5527051183.68754 4994743546.273186 6115476668.3953285 206302441.91247112 158864107.19791555 279120712.6522062
641418994316.4908 6570070452.1117935 5929460641.245527 7264324403.831285 272437388.3402754 216625729.36871588 363716851.75749165
704974769363.7897 7776343254.088601 7002838623.395842 8590742892.775696 357291309.93883497 289462762.9339991 470826217.2333347
774828045073.9232 9162363501.218227 8224373602.916728 10114563751.197691 465700396.99902177 379727226.15914255 605767295.7049737
851602816899.2148 10747349959.912582 9611078697.774204 11857981490.838902 603356943.5691332 491346085.94472903 774613104.8745908
935984909634.3519 12552846807.659464 11189089039.266783 13844975761.112478 776989149.9585963 630263475.0977125 984291501.7515061
1028728103851.3832 14599387532.447989 12989534481.276403 16098469032.189243 994776496.148165 804240157.6365366 1242921830.639221
1130660869379.9153 16904510076.30238 15049477103.793339 18638178201.61216 1266658660.5165572 1023407431.2829928 1559967268.9220622
1242693765982.344 19480816780.56487 17411980379.445847 21478690303.805405 1604625530.4428833 1300793922.0360634 1946457336.8393428
1365827577333.8735 22346799053.68819 20108671968.23067 24644325080.053715 2021929801.7567012 1649844513.1783376 2416339279.496106
1501162250967.808 25528380807.91222 23152063867.980522 28172354180.09545 2532997609.5955763 2083965913.75913 2987191528.5631695
1649906724046.0881 29050564503.39502 26537616895.20316 32103918695.45425 3154048237.4034796 2618181106.027776 3680278662.135611
1813389722728.1602 32935316705.62597 30234090315.47875 36483718545.02294 3903047234.7149124 3269092886.58659 4521295456.040513
1993071631608.3435 37199554423.494316 34174325909.31655 41359387234.6181 4799719173.632899 4054817726.6381307 5541087883.795539
2190557539250.7205 41866193349.30917 38325566561.901184 46774478707.61485 5869495916.770594 4997806110.98084 6773128109.499244
2407611576356.5933 46967473225.533936 42716295324.225044 52763502212.419815 7145355283.93459 6125992926.635331 8252651966.451031
2646172674646.5664 52536603578.53812 47397034208.87638 59350194540.6211 8666421212.39907 7471393298.055558 10018298993.836422
2908371887230.4746 58606696069.4853 52449375140.788826 66540349422.55958 10478892391.000929 9070260324.62611 12111552619.682104
3196551425187.053 65209826498.76374 57996931477.59398 74313914288.54626 12636982221.815125 10963150001.815292 14576016586.633001
3513285580406.1416 72380190756.7439 64131516238.12126 82665944095.97237 15199731240.481905 13194842220.119146 17466180292.392296
3861403721595.8228 80155206478.3173 70875296103.03638 91625723050.3661 18229224149.369095 15813823514.608799 20851843719.45037
4244015568876.8115 88572085295.59972 78226486741.56038 101226011850.40721 21792268541.84638 18871072283.345695 24812637924.66239
4664538972740.459 97666778705.24606 86149744775.93257 111503090337.99341 25958800841.50685 22418044855.98999 29438187593.61892
5126730445518.348 107473033111.85422 94562457415.60056 122499527055.20032 30799898205.53891 26504418198.42148 34828783257.86686
5634718718099.388 118028483848.35416 103399800667.74084 134278812721.81004 36409490168.07087 31200369909.879128 41112082750.52568
6193041621654.728 129378988673.9941 112655805745.49991 146940015626.15546 42919066181.36215 36611770408.0275 48455915328.383316
6806686623832.845 141575387287.01273 122331544677.19711 160625122530.85858 50484745967.0431 42867079824.854744 57063892735.25771
