Mhalo Mcent_50 Mcent_16 Mcent_84 Msat_50 Msat_16 Msat_84
234682065994.07968 634995412.6174812 588884253.3604053 667318797.4202263 26639904.010868568 18724266.00677743 30959788.125417065
258340340129.65637 804936929.8366297 742604664.6264346 842369431.5304372 37537498.10862558 29943496.63247987 42685194.86534874
284383602366.9154 1018261210.3478379 935634403.0746145 1066446295.0944862 51268568.76709097 43770946.95171628 57522987.18743494
313052283102.95874 1285396507.6527438 1178122765.4185736 1353716868.0501888 68310345.55428162 60114535.607783675 76119500.20866917
344611050497.67224 1619718905.9808974 1482745200.5643103 1720127197.6927578 89598008.07985471 79716144.359152 99531043.74546097
379351253880.0162 2038093404.8880882 1865493485.7107134 2185112670.111648 116434950.86089419 103798143.0832921 129187472.70471953
417593613473.8464 2561745432.329978 2346614890.857618 2772771602.307493 150554891.56477475 134080073.54821737 166970247.92197138
459691181274.70056 3217434604.1682196 2951790955.9408 3512995134.5461874 194265746.88271782 172968369.0765377 215358243.48936898
506032600412.27673 4037630370.637066 3712015578.101585 4441045300.517833 250390886.0788142 223384776.46041843 277375380.96239644
557045693088.8787 5059226144.778449 4661582233.014974 5594881087.443823 321918058.677805 288076167.2925938 356252055.2835357
613201410217.564 6326332836.83908 5841002814.928447 7017800410.942778 412399337.960299 370190636.2190679 455822798.1779277
675018179222.8928 7892104700.954605 7298594244.528662 8759321672.735842 526146870.6315181 473476176.77693117 580723578.5670342
743066690143.0068 9820405115.464966 9091709682.93492 10875343075.660767 668383905.7863721 602371688.5376192 736544804.5160289
817975164218.1514 12173426902.331564 11273669112.020014 13422250610.522453 844700494.8099933 761538518.2157131 929358852.3555562
900435153605.0464 14983423114.440943 13864479861.87076 16444019187.771858 1059723819.9398613 954755480.6935853 1164540244.4729218
991207925759.8462 18258528610.540493 16855622353.793207 19971851148.51309 1317533059.090569 1185147117.9847586 1447155899.90565
1091131491430.0682 21971454964.92095 20197217332.915424 24015572776.58519 1621234895.1071608 1454711511.0497563 1781596195.5678263
1201128341137.64 26039339945.816357 23775884588.14806 28549564968.474033 1972121461.489635 1763466630.1453738 2170820771.5234747
1322213961575.9807 30363111789.89504 27464141474.287678 33530530485.070946 2371547940.4198556 2111468214.6800838 2617641341.5431795
1455506210544.174 34914501826.85168 31227645196.07486 38939885036.34915 2824979237.9002905 2503133586.617612 3127589313.725343
1602235636967.2275 39663750078.262634 35045262764.42762 44734307505.234245 3338725046.4397044 2943958781.9108047 3706010447.9797883
1763756841276.5388 44564062271.79862 38899032376.38498 50824115833.92815 3919231806.163781 3439984144.3701615 4356954885.647372
1941560981029.0493 49546207966.535286 42779203199.68228 57052879120.08791 4572778998.957083 3997776544.0458755 5082174685.864597
2137289537216.565 54534129715.03936 46673294125.00228 63268658215.70648 5306491129.461185 4625291481.269452 5884918180.355354
2352749468355.2524 59473085228.87732 50546956472.73702 69448855610.10042 6130067895.638928 5333267543.370184 6776484584.358085
2589929892257.2866 64312951274.88721 54365227888.30206 75625253473.33447 7054403018.65055 6134809060.471249 7772113346.530941
2851020449490.1226 69012916926.30656 58100873540.379974 81898972117.1558 8091365093.786032 7045849703.559439 8891451600.93239
3138431518054.152 73553136904.4583 61743228222.280396 88478463433.88753 9253727709.147799 8085853408.853945 10160035209.653685
3454816465899.857 77930965763.12216 65284510044.01112 95560772066.04156 10556939249.855589 9275078508.74285 11605550198.785528
3803096146718.864 82156251580.14044 68700584666.21544 103158913681.70564 12021609533.190971 10630491354.439209 13252259515.91288
4186485865153.0967 86294107862.86449 71985484333.78337 111246628513.96207 13672600898.55694 12168021017.325203 15125869804.9445
4608525060363.706 90502138720.51048 75170374039.50386 119766313325.21918 15539839982.339586 13901477911.780458 17253716190.2974
5073109981997.706 95076146803.75555 78345410854.83812 128616899608.85812 17659512137.43338 15840599591.599953 19664117645.17688
5584529660214.873 100270616805.75381 81589547966.82784 137696497935.06476 20070265579.68431 18000030934.219448 22390370884.727356
6147505501849.724 106082007030.08987 84887383680.03348 146954688421.85934 22808458496.65201 20410106269.983788 25475415256.028183
6767234878258.042 112424479532.93094 88213093293.62509 156351117431.23727 25911715221.843822 23108574646.85893 28968143714.10241
7449439107249.718 119116163598.49889 91540532971.40054 165861619342.648 29418001766.484013 26141471671.798492 32923383746.81496
8200416272075.11 125837979690.12456 94846505827.37175 175493804335.89557 33363758268.312546 29565302529.323708 37402187720.634186
9027099365087.812 132302603165.4664 98109790632.17606 185262136591.97046 37793171693.17682 33441394981.222816 42473611128.73078
9937120292863.885 138422955619.33374 101312446696.29787 195169653342.27875 42767144465.55995 37830336877.665405 48216301726.822174
10938880333670.355 144160809949.8291 104453186310.1857 205267578538.63782 48354611439.38318 42798496950.62778 54717360828.988075
12041627697743.633 149542601772.19812 107560778385.99892 215692397619.7735 54632184573.25607 48418304125.74692 62071957433.43706
13255542906411.342 154698317130.06522 110710506507.64873 226707414633.05466 61684487572.43396 54767723317.875175 70382644767.97447
14591832778274.426 159751989983.05307 113962761389.28188 238506474835.17996 69609130951.62416 61936819717.447464 79766192101.55571
16062833890125.977 164746011480.31604 117316539367.86224 251056707131.26794 78520959087.04915 70032899617.60495 90358644651.47191
17682126467754.89 169785690031.06174 120772529719.96729 264262251631.68735 88550078881.15933 79175508961.48827 102309070528.60896
19464659758068.754 175087950552.16916 124342289329.35295 277954943631.95087 99843089102.9434 89496040354.23668 115777811588.25317
21426890039967.395 181028187501.08124 128054816631.50934 291873830818.9394 112564695821.78087 101137391602.95735 130935025738.96489
23586932548077.9 187908962485.67853 131938397754.49834 305864340049.749 126906170969.78638 114263454694.51982 147992859452.20148
25964728711905.18 195812627614.32053 136012168808.11377 320025138124.9918 143092122459.9254 129065109897.3009 167228527915.8749
28582230254343.574 204779636068.92206 140310799456.51752 334623541067.0194 161379849042.2814 145753658653.8663 188969836846.9634
31463601849139.797 214797036830.22183 144895148808.87372 350178028725.3976 182063330888.05618 164559914683.19135 213604309420.43066
34635444208233.254 225770694932.30084 149861295335.66632 367554192340.92236 205477887724.37518 185733282462.57434 241589077203.92233
38127039658507.35 237580956252.6039 155250525284.27133 387385466445.5707 232008065744.2315 209561853298.96405 273399053447.1226
41970622475107.266 250091320410.0554 160997556952.79556 409777187308.53845 262094568178.13867 236382553843.20663 309497679797.97565
46201676467029.64 263054722939.65457 166972102486.25586 434683180138.46155 296238361017.4635 266568353719.04352 350363480955.08484
50859262562286.84 276060536782.4105 172953072329.25842 461846861143.4753 335006287830.85925 300527025163.94995 396471912098.15894
55986379416892.21 288494407647.91956 178602920372.69827 490732656613.6871 379033229984.4805 338700297878.408 448276184550.5224
61630360376803.56 299999517068.42365 183679072588.2628 521186657026.4946 428972778814.27185 381598943545.5685 506393115349.3761
