Mhalo Mcent_50 Mcent_16 Mcent_84 Msat_50 Msat_16 Msat_84
363923665065.503 2287988412.59789 1951334904.9521267 2606969742.9298606 68401439.31099635 9019715.75528097 151046355.8225946
398839416656.09235 2700030480.718576 2308432344.348156 3069021501.8920226 92201407.85975991 15511674.59982516 198703208.06035578
437105073257.4398 3186071740.858833 2730624371.1537023 3615156045.4760704 122799258.28677312 26062400.457787752 257164525.68549734
479042033180.3295 3759320939.6123314 3231176285.583747 4259878310.0643773 161891683.3494233 42659545.113263614 327523184.1821692
525002530497.7126 4435386663.709068 3824061112.1286135 5021347282.857947 211230979.4594927 67242076.56959204 411692221.79886764
575372593505.2678 5232673573.133568 4523716833.242989 5922208063.254932 272577515.6916429 101632444.7246248 512642724.42776316
630575287024.1055 6172732449.914865 5345991684.68167 6989736462.129791 347842511.23666006 147951416.16332373 634054432.2383926
691074265778.1703 7280729831.416299 6307980835.563591 8256798885.0810795 439050714.8685872 208659813.6906719 780477223.0798239
757377668691.571 8586019981.337427 7427810500.475029 9762981829.48738 548298476.5649974 286580131.90704626 957518007.444808
830042386814.628 10124716551.580862 8729929937.171616 11553807194.198185 678790461.4205365 384673745.4320885 1170929820.5820382
909678740725.4526 11942283575.556131 10249986343.776842 13680280217.123465 835806546.2247097 505804566.98487085 1425779975.98936
996955606693.1912 14093789059.36233 12032229538.628983 16201439797.641996 1026232530.036661 652761587.0439018 1727095568.6343758
1092606034658.2958 16645885265.658104 14131315210.963129 19185453251.184372 1258970142.3475752 828034089.6435835 2079596554.975426
1197433405215.9187 19679343633.73852 16614956402.147364 22710614390.128212 1545540397.9313786 1033464805.7832978 2487206784.740802
1312318177315.769 23286345213.98745 19559191199.607178 26872302326.606544 1898397357.6013393 1271737247.4874592 2954914383.2179146
1438225283353.3088 27562913103.281643 23036814881.848236 31795549836.887543 2327114230.377254 1549550523.8383799 3492781251.221076
1576212233764.552 32615611370.047546 27125604434.47334 37633484036.44318 2840565114.3809805 1875902869.3770003 4113571289.1977615
1727437999196.0618 38562549402.28139 31908602950.58107 44572303947.81476 3446629264.8997035 2262287729.2173524 4832785927.552038
