z MTOT_50_atMh MTOT_16_atMh MTOT_84_atMh
0.35 0.010482844936200022 0.009333010216705066 0.012316640110651315
0.65 0.007444959036312847 0.006989074075397909 0.008094713324683435
0.9500000000000001 0.008137527470678047 0.0073562396111159336 0.008741367758632995
1.3 0.0059958664705183655 0.005536311339808059 0.006408864022874127
1.75 0.0043874544535141835 0.004012827288832705 0.004637564545370812
2.25 0.0035932214776229297 0.0032690560425372404 0.0038374877752667485
2.75 0.005223728030977425 0.00469112310486472 0.005735747463110992
3.25 0.005669436973814243 0.005111549512222967 0.006269016287531646
4.0 0.0057448883444982755 0.004773538529550701 0.006735765609970041
5.0 0.007211501425008874 0.005263779962304981 0.009095077644050268
