Mhalo Mcent_50 Mcent_16 Mcent_84 Msat_50 Msat_16 Msat_84
66296706817.30795 138185889.15720302 122859549.08492075 151841683.43116438 3028.950593870867 371.9346846305116 19818.379263825525
73917898798.73352 172720900.0668386 153463093.1277725 188804430.35792825 15252.459777128759 -256.6150483036455 64072.32792805847
82415191117.65851 215673222.45576337 191768882.6401075 234528445.9761902 50357.188974235425 6910.219371252569 157201.9054802857
91889296602.63226 269089919.88765955 239526223.76712334 291627479.4423529 136128.42319634225 38967.59965574145 336226.6285079631
102452505607.51738 335515179.327528 298836177.16694885 363603417.5064963 317362.01390138955 124434.70612744772 658070.277636681
114230016915.3509 418111484.28001314 372219547.2840017 455136384.68409896 663561.7109398298 308601.899822665 1208396.8078611514
127361421637.34383 520828269.08945644 463052304.6707711 571674824.6189399 1264620.725469634 650953.025202609 2105040.5058528166
142002357694.69983 648606120.6643087 575984089.142209 719219189.8050666 2232211.0289695146 1226591.6870937971 3507304.643746619
158326354492.74042 807610719.2412863 717040702.2843549 905012812.7288473 3721446.781664149 2141512.473857416 5640800.538253769
176526889651.04785 1005539328.3203484 894038906.9945077 1137794075.4261613 5948422.999375666 3545500.5018295753 8824650.562776254
196819682166.6986 1252045100.3530602 1116606899.1893206 1428466573.0027277 9196103.593528595 5641616.022215983 13488179.140553016
219445249189.9458 1559341768.9483867 1395243177.6998365 1791676007.004955 13792193.711547684 8685759.120616235 20158660.9672592
244671756716.13455 1942821473.3047915 1742212577.8122094 2246154632.081757 20150348.80890163 13018803.756301096 29529653.852400307
272798197981.23068 2421887213.518848 2171990261.733003 2815655554.5198855 28802992.184047107 19100345.03881175 42527601.67172196
304157937232.3985 3020837737.8737206 2701881404.0431743 3529882573.2354293 40445395.5808353 27541333.63397672 60395380.77432496
339122660875.61456 3768184888.123724 3356430344.5712314 4421325003.19453 56083682.29967509 39063848.09308947 84840446.75541723
378106782830.6767 4697571006.331157 4169195559.5823936 5525535085.792659 77135844.43298113 54538206.703389496 118197737.15825488
421572356307.3892 5849459111.900749 5183738595.810069 6882740897.502729 105537332.11152509 75060637.29355747 163639699.77606127
470034550218.98444 7272065288.372202 6456409992.04091 8537251211.159791 143924563.00904498 102010375.13769957 225460263.19247264
524067755141.1132 9012562604.540678 8037261534.242731 10529464663.453302 195410518.3561098 137102529.66997474 308201017.5367852
584312391186.3297 11103654734.995914 9941610303.771763 12883561796.396748 263233983.7828378 182450219.83072388 415335460.7258845
651482498483.3376 13563337202.82329 12155006203.772999 15602388043.97047 351204134.16891646 240673720.756992 549908378.0984595
726374200225.966 16383512911.519424 14615543931.667683 18652262648.43852 463805127.3536793 315017440.5513836 714069183.4883683
809875138598.8401 19526092461.489563 17212255517.138123 21963348732.300957 606184108.1005884 409429322.45307124 909151053.1015838
902974995417.5806 22964843744.2323 19873379026.627617 25508669710.572273 783886856.8750829 528443388.30587703 1138951702.7615259
1006777222177.7738 26653770811.350174 22520938757.34364 29268192338.128353 1002762730.05286 677340962.307298 1408264756.266599
1122512118541.2837 30497339591.234303 25036248827.990265 33203775236.438942 1268679716.5429296 862263508.2646692 1721786051.840732
1251551414270.6223 34332934621.112762 27250495293.425167 37254202425.78185 1587094969.6529605 1090264384.2532222 2083881221.7628694
1395424527441.4702 38039137854.068245 29045929842.63774 41370327876.53652 1964648374.5097632 1369683160.2871156 2502305879.8308854
1555836691631.2769 41580202752.4853 30407827062.838898 45531477775.037155 2409384416.8676 1710277293.4653254 2990019449.117638
1734689166933.6006 44960629691.55288 31407366014.24033 49735616340.65336 2929010400.1378016 2122991387.0838552 3564293069.281809
1934101774346.0808 48255164000.67649 32259098525.92094 54015845050.07054 3529898231.7518954 2619762116.8312955 4248221949.572648
2156438020617.3528 51559726515.37951 33224153465.373096 58416390418.72675 4219320213.876955 3212999479.421425 5067814508.152902
2404333111341.2197 54848574060.27377 34332008079.68556 62921318405.1627 5011401761.1991625 3914589890.9476123 6043768538.660897
2680725184318.9062 58074904513.471115 35556722949.82484 67510561839.025604 5923920466.677689 4734557956.350303 7195162933.5893545
2988890133377.9307 61195354453.304756 36839738462.00549 72179252980.06393 6978260779.663031 5678782147.430694 8538132013.887289
3332480435391.469 64176275624.11628 38087147941.07143 76942390560.4907 8199669408.767304 6748364985.4745655 10084679050.297853
3715568440689.3813 66982124975.57955 39256742347.15974 81778926561.5444 9614080580.146751 7955632446.858165 11855040338.195034
4142694639953.733 69594247688.89069 40349198016.17066 86648244541.48576 11248316887.77378 9321695585.883783 13873814532.538074
4618921479674.62 72041324787.95726 41392236424.72836 91518589845.90186 13130259139.767937 10872062548.54709 16163421073.30334
5149893364005.711 74431053359.4038 42456861702.30304 96379988758.53552 15287560124.847559 12637707519.712906 18741449744.81434
5741903554181.688 76855424127.0457 43598950121.40022 101225557692.34584 17754264966.241833 14651971460.516722 21636475730.180164
6401968758413.307 79317242371.72003 44811201739.4774 106043833293.65878 20576244067.84049 16947831813.221304 24902106400.65308
7137912296323.953 81830017335.21799 46072871679.93738 110866749981.52075 23806063492.202404 19560178238.872883 28608566451.24037
7958456823622.604 84437227153.89256 47348448049.77223 115806777285.15465 27502979060.4648 22524800064.176003 32847977651.792233
8873327716016.268 87197196144.7057 48595493415.716606 121023457392.73651 31733991638.439938 25878971533.406456 37730989829.954346
9893368337705.371 90094865412.7629 49803988231.3955 126511325700.39758 36576713003.82898 29666987014.410717 43358807700.89252
11030668560661.88 93078040073.30054 50986747058.85586 132197429787.67732 42118426716.34133 33935507450.712746 49837066228.81925
12298708057947.068 96062580938.40805 52185980770.76462 137965749705.99323 48455360463.944305 38730007264.522644 57278916521.4699
13712516069428.059 98928121262.40611 53483597074.1377 143650476583.49664 55691645575.38742 44093780822.1126 65801555329.36983
15288849533494.11 101605473415.01775 54927179481.6141 149129962573.3049 63938977537.10343 50095538560.85413 75524461700.50499
