Mhalo Mcent_50 Mcent_16 Mcent_84 Msat_50 Msat_16 Msat_84
98622458970.61375 215810115.75029898 202995798.91821018 231071394.49077225 1150126.7168690288 664511.6928928843 1785924.5878738402
109519441987.76018 265577065.76667958 250789941.65655503 283953706.11799014 2364175.4157449864 1479368.7630669482 3372482.0263318787
121620453378.51782 326995093.2632843 309858663.8493516 348274161.7318978 4482039.610730863 2959660.270021198 5994918.399903176
135058528527.28542 402732999.1504986 382704945.3457394 426919121.9719741 7847203.12296073 5391916.34450872 10045040.81410556
149981402151.04227 496033025.8375932 472307272.24137 523724175.207313 12893017.272094086 9154650.2458305 16025645.593231745
166553132456.5571 610847001.9747748 582226093.5362915 643684553.5076523 20191518.91236092 14764994.116100945 24604989.060329154
184955904753.81198 751994061.2924476 716717829.4992871 793283810.2970777 30493876.588937838 22924378.951164886 36667054.751985185
205392034354.107 925546995.2156321 881285948.5505061 980023946.5920831 44706970.70628369 34498390.95169903 53294531.59288037
228086190772.17758 1139192616.4689488 1083108427.4768257 1212392805.3826165 63912078.36653943 50545282.23031461 75801252.99108888
253287867684.64047 1402501205.1474495 1331185266.1693668 1500646410.7202644 89459268.22358944 72430844.2232311 105852161.75822379
281274125798.83997 1727396262.5800838 1636810996.11259 1857162995.0023196 123034206.47625408 101921848.29679792 145559812.8347216
312352638786.4946 2128582090.4954808 2013797214.9624584 2297024981.76441 166784471.20921734 141223258.78159517 197598540.4828662
346865075768.33356 2623593598.9408445 2477631937.0278115 2839277376.8070083 223608568.1300671 192792702.44928002 265331230.33012146
385190857535.9022 3233701953.431247 3046376152.7852798 3507455997.4621086 297293342.7571175 259521517.316436 353005292.2071705
427751327805.4512 3984835548.9887195 3741294129.7409124 4330428880.812456 392745740.1134517 344863252.09725714 465995380.50901216
475014385361.608 4908554822.0204115 4587334513.18206 5343565213.341552 516309551.158542 452933940.19527555 611085819.7629772
527499628015.3937 6043483048.103619 5617329875.367869 6589760725.18687 675366831.6930028 589319726.1207606 796188430.5692459
585784064927.959 7436938655.177752 6876017994.022496 8120770726.674969 878096399.2564207 761863349.4091766 1030178103.9720321
650508460099.8204 9146538267.909998 8420281766.601591 9999275978.25522 1134202459.873863 980757901.5790169 1323479498.6898072
722384376764.2992 11242303033.600708 10322443430.618622 12301017254.078331 1455153213.9215791 1259241051.9319215 1688246473.139585
802202000129.3585 13801005462.673586 12664334655.994078 15109506498.761612 1853729533.3588693 1613175294.2738433 2137919106.6861587
890838824469.0848 16863874761.481348 15485363574.161098 18475914052.510784 2340611922.1981473 2054680213.2318819 2684195589.930711
989269300068.4287 20433518451.69221 18781918991.22035 22416035979.488415 2923936169.5529513 2592728740.562241 3336458230.136678
1098575546077.181 24461747678.673763 22496915909.870605 26898445265.53131 3607945741.1665382 3232685284.196554 4100305010.5404797
1219959247047.5898 28820017218.01147 26489272493.13999 31815627060.4292 4390038347.664702 3973405282.650069 4974550427.636685
1354754863943.022 33366910546.374466 30611482863.722046 37035129015.33954 5267321783.4026985 4813107835.001006 5957147400.207081
1504444304856.0884 38031321353.63949 34805984944.09237 42461125425.71699 6244542946.653722 5756389441.668038 7052254602.017975
