Mhalo Mcent_50 Mcent_16 Mcent_84 Msat_50 Msat_16 Msat_84
120116034572.21573 303494557.52518064 282132208.3842314 319155970.5643707 4472.5555338942695 -230.09445991072226 23291.84826397843
133122505030.86139 381170082.72796685 354108135.36456853 400035958.2917382 16599.365017129578 2201.7790017919815 64924.68254106473
147537349270.69434 478610030.0849701 444083426.907073 501895869.456707 49426.47406406709 13658.51453160413 154857.90677601658
163513069595.3815 600604330.5302669 556463184.1792468 630440540.2295933 121909.82318008164 44047.94191532903 330118.3314121885
181218681646.8372 753092667.216066 696734866.1063384 792999412.526203 263345.322065832 108975.12272570991 646749.1315976903
200841502511.5838 943712101.2449443 871691184.9963574 998543335.628132 519632.21791503107 236545.51478320948 1181529.4891047445
222589132447.83942 1182499962.7715147 1089707826.5360982 1257703033.1772614 961948.0870981116 476591.6195267659 2034912.795692678
246691651199.05417 1482318532.7669988 1361176454.4262638 1583624514.7099798 1695829.9184939442 905723.6098907243 3347444.3671303457
273404052129.8899 1859660616.3043346 1699002632.9333344 1992618548.5009875 2875534.270358948 1638697.0192234302 5315909.070347533
303008939936.6339 2335453331.3742733 2119268780.7264721 2505093649.332436 4720787.482757657 2843269.565495221 8212077.293871081
335819520472.5914 2933668212.6721077 2642459319.3505044 3148216827.9094205 7509864.417109851 4747421.521199056 12384156.579693997
372182914319.3746 3682199455.8079233 3294592175.3048105 3957702526.7374063 11606294.73244823 7665847.119628215 18287470.11588295
412483829160.16077 4614725821.287689 4108538634.1328297 4979660547.347637 17505454.15757003 12041147.519290136 26534086.136318937
457148629806.86523 5771777862.391628 5125912768.19164 6273774543.183783 25882027.446165945 18493352.850988425 37947110.282834955
506649848940.2593 7202287662.201371 6396325440.372906 7910198935.214047 37638957.46388571 27835182.141933028 53574474.46355333
561511186284.4996 8966005553.99817 7970736670.513017 9952634491.474195 53947549.061489865 41003092.75794463 74605082.08009848
622313049105.0507 11134950661.022663 9905475951.255432 12465534603.788046 76365841.23230173 59184497.364090964 102500817.88746908
689698692645.827 13795422407.892595 12263047954.7906 15513539521.520044 106978172.60194987 83919059.17739813 139092726.39597356
764381025468.5214 17048716166.606089 15110304499.63693 19155531179.69789 148561337.22642493 117206117.38524054 186683169.86190256
847150151691.4553 20963252597.787624 18497716285.23607 23427444905.205746 204413928.41952813 161679286.38567385 248465662.6230833
938881729921.2347 25528800062.425232 22437451051.65459 28320429332.895336 278285905.09512967 220823704.96020398 328962371.9389411
1040546237310.8906 30656699070.15096 26895263299.89671 33759236327.75488 374798298.8559382 299219692.53354615 434221416.86416566
1153219236753.7937 36136122202.59132 31762445585.138134 39563381820.67071 499659207.93394625 402894495.7229567 572325190.0728115
1278092755835.5688 41623251209.074715 36845471317.09514 45436001597.06367 660043920.7888361 539664731.7492802 753852113.6115867
1416487897927.86 46949400005.49765 42035058766.56657 51213980423.13986 865882727.4205883 718834446.4709218 991082159.7664846
1569868818843.5605 52071145620.30543 47268604461.736984 56822612109.531494 1130432708.92317 951834558.9011142 1298902771.2421896
1739858216919.817 56987905702.42438 52469952709.56528 62201831811.93499 1470985555.539697 1253089457.802985 1696058998.5036077
1928254500406.8008 61775704123.02087 57549762133.70366 67325843625.611115 1910138590.7758448 1640808864.7788708 2206163339.811275
2137050813785.0474 66535662087.82914 62417633652.99505 72190586066.56198 2475418794.1330686 2136974997.3702621 2858110858.9875364
2368456124300.938 71238351663.93192 67009357118.379364 76762765099.1349 3196878470.92342 2766330167.698197 3685759363.389178
