## {'tot': 1080753032.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.2082e-04  -7.1276e+00   7.5615e-01   3.6418e-02   4.3680e+03   4.3680e+03
  1.6264e-03   1.8094e-03  -6.3358e+00   3.1467e-01   1.9238e-02   1.5474e+04   1.5474e+04
  3.5704e-03   3.9812e-03  -5.5465e+00   1.3674e-01   1.0323e-02   6.2401e+04   6.2401e+04
  7.8381e-03   8.7928e-03  -4.7536e+00   7.4359e-02   7.6902e-03   2.6992e+05   2.6992e+05
  1.7207e-02   1.9315e-02  -3.9669e+00   4.1179e-02   5.4424e-03   1.1848e+06   1.1848e+06
  3.7775e-02   4.2469e-02  -3.1792e+00   2.6331e-02   4.8619e-03   5.2999e+06   5.2999e+06
  8.2928e-02   9.3129e-02  -2.3942e+00   1.2198e-02   5.1366e-03   2.3472e+07   2.3472e+07
  1.8205e-01   2.0401e-01  -1.6107e+00   9.2333e-03   5.1107e-03   1.0065e+08   1.0065e+08
  3.9967e-01   4.4027e-01  -8.4303e-01   3.5748e-04   1.3113e-03   3.6432e+08   3.6432e+08
  8.7739e-01   8.6238e-01  -1.6981e-01  -3.3655e-03   1.6889e-03   5.6453e+08   5.6453e+08
