## {'tot': 216694562.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.0464e-04  -7.1490e+00   1.5618e+00   9.9718e-02   1.2800e+03   1.2800e+03
  1.6264e-03   1.8107e-03  -6.3354e+00   5.5332e-01   4.2198e-02   3.6590e+03   3.6590e+03
  3.5704e-03   3.9729e-03  -5.5492e+00   2.1938e-01   1.7950e-02   1.3402e+04   1.3402e+04
  7.8381e-03   8.7832e-03  -4.7547e+00   9.9660e-02   1.0257e-02   5.5278e+04   5.5278e+04
  1.7207e-02   1.9281e-02  -3.9687e+00   5.3462e-02   5.5590e-03   2.3990e+05   2.3990e+05
  3.7775e-02   4.2445e-02  -3.1797e+00   2.7379e-02   5.6393e-03   1.0557e+06   1.0557e+06
  8.2928e-02   9.3144e-02  -2.3940e+00   1.3716e-02   6.9033e-03   4.6777e+06   4.6777e+06
  1.8205e-01   2.0395e-01  -1.6111e+00   6.9228e-03   5.1723e-03   1.9939e+07   1.9939e+07
  3.9967e-01   4.4044e-01  -8.4267e-01  -5.8990e-04   1.4683e-03   7.2431e+07   7.2431e+07
  8.7739e-01   8.6408e-01  -1.6803e-01  -2.2270e-03   1.4665e-03   1.1376e+08   1.1376e+08
