## {'tot': 11205378.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   7.8384e-04  -7.1753e+00   4.0793e+00   4.3346e-01   1.3100e+02   1.3100e+02
  1.6264e-03   1.8022e-03  -6.3427e+00   1.2688e+00   1.8418e-01   2.7500e+02   2.7500e+02
  3.5704e-03   3.9107e-03  -5.5646e+00   5.8566e-01   8.9916e-02   8.9700e+02   8.9700e+02
  7.8381e-03   8.7339e-03  -4.7605e+00   1.8929e-01   3.8172e-02   3.0870e+03   3.0870e+03
  1.7207e-02   1.9218e-02  -3.9719e+00   7.5662e-02   1.8340e-02   1.2700e+04   1.2700e+04
  3.7775e-02   4.2366e-02  -3.1817e+00   5.2374e-02   1.8894e-02   5.6292e+04   5.6292e+04
  8.2928e-02   9.3028e-02  -2.3953e+00   1.9011e-02   1.3213e-02   2.4534e+05   2.4534e+05
  1.8205e-01   2.0411e-01  -1.6107e+00   9.2580e-03   9.9619e-03   1.0419e+06   1.0419e+06
  3.9967e-01   4.4063e-01  -8.4231e-01  -2.0988e-03   2.2495e-03   3.7855e+06   3.7855e+06
  8.7739e-01   8.6151e-01  -1.7106e-01  -2.8763e-03   2.8355e-03   5.8326e+06   5.8326e+06
