## {'tot': 463684.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   7.7689e-04  -7.1976e+00   1.3060e+01   3.9519e+00   1.5000e+01   1.5000e+01
  1.6264e-03   1.5756e-03  -6.4866e+00   3.4059e+00   9.7952e-01   2.2000e+01   2.2000e+01
  3.5704e-03   3.8774e-03  -5.5742e+00   8.4840e-01   3.3582e-01   4.3000e+01   4.3000e+01
  7.8381e-03   8.5427e-03  -4.7881e+00   2.7660e-01   1.4402e-01   1.3700e+02   1.3700e+02
  1.7207e-02   1.9121e-02  -3.9785e+00   1.6222e-01   6.2224e-02   5.7300e+02   5.7300e+02
  3.7775e-02   4.2474e-02  -3.1818e+00   9.3641e-02   4.8840e-02   2.4210e+03   2.4210e+03
  8.2928e-02   9.2939e-02  -2.3985e+00   3.7912e-02   3.6882e-02   1.0367e+04   1.0367e+04
  1.8205e-01   2.0441e-01  -1.6097e+00   2.1056e-02   1.5037e-02   4.4348e+04   4.4348e+04
  3.9967e-01   4.3993e-01  -8.4401e-01  -8.2476e-04   7.6288e-03   1.6020e+05   1.6020e+05
  8.7739e-01   8.5576e-01  -1.7746e-01  -8.8536e-03   7.1602e-03   2.3623e+05   2.3623e+05
