logM Fi dFi
8.92502 0.0060302257955745404 0.0004731125983045648
9.17502 0.004929730068041312 0.00039364716724749
9.42502 0.004026548482292665 0.00033157710305963304
9.67502 0.0029839447803400487 0.0002633234407338313
9.92502 0.002230182109654746 0.00021654230786850563
10.17502 0.001788033925523942 0.0001973808151788891
10.42502 0.0014791967516838327 0.00025103134896374877
10.67502 0.0011598057895290434 0.00019083614094726926
10.92502 0.0007804248727434416 0.0001910965443064813
11.17502 0.000326056512669324 9.026384745990547e-05
11.42502 8.665215668895151e-05 5.725203298709258e-05
11.67502 7.221013057412627e-06 5.9761260162071036e-06
