## {'tot': 59024112.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.0056e-04  -7.1545e+00   2.2599e+00   1.8911e-01   4.4400e+02   4.4400e+02
  1.6264e-03   1.8166e-03  -6.3324e+00   8.4679e-01   6.9338e-02   1.1810e+03   1.1810e+03
  3.5704e-03   3.9590e-03  -5.5530e+00   2.9334e-01   2.6122e-02   3.8660e+03   3.8660e+03
  7.8381e-03   8.7649e-03  -4.7570e+00   1.1818e-01   1.6671e-02   1.5261e+04   1.5261e+04
  1.7207e-02   1.9246e-02  -3.9704e+00   6.4905e-02   8.0251e-03   6.6051e+04   6.6051e+04
  3.7775e-02   4.2384e-02  -3.1811e+00   3.2049e-02   7.6553e-03   2.8906e+05   2.8906e+05
  8.2928e-02   9.3025e-02  -2.3952e+00   1.2414e-02   8.9592e-03   1.2736e+06   1.2736e+06
  1.8205e-01   2.0397e-01  -1.6111e+00   7.4717e-03   5.5082e-03   5.4198e+06   5.4198e+06
  3.9967e-01   4.4070e-01  -8.4210e-01  -1.4780e-03   1.6584e-03   1.9656e+07   1.9656e+07
  8.7739e-01   8.6463e-01  -1.6750e-01  -1.7036e-03   1.3773e-03   3.1032e+07   3.1032e+07
