## {'tot': 36842528.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.3100e-04  -7.1140e+00   2.4823e+00   2.2675e-01   2.9500e+02   2.9500e+02
  1.6264e-03   1.7906e-03  -6.3483e+00   1.3911e+00   1.2125e-01   9.5500e+02   9.5500e+02
  3.5704e-03   3.9710e-03  -5.5497e+00   6.9054e-01   8.7374e-02   3.1500e+03   3.1500e+03
  7.8381e-03   8.7065e-03  -4.7643e+00   3.1002e-01   7.1883e-02   1.1192e+04   1.1192e+04
  1.7207e-02   1.9195e-02  -3.9734e+00   1.9165e-01   6.4697e-02   4.5784e+04   4.5784e+04
  3.7775e-02   4.2332e-02  -3.1823e+00   9.9114e-02   4.1217e-02   1.8976e+05   1.8976e+05
  8.2928e-02   9.2956e-02  -2.3960e+00   5.6266e-02   2.6304e-02   8.1042e+05   8.1042e+05
  1.8205e-01   2.0363e-01  -1.6130e+00   1.7326e-02   1.4933e-02   3.3498e+06   3.3498e+06
  3.9967e-01   4.3995e-01  -8.4409e-01  -3.1843e-03   7.3834e-03   1.1813e+07   1.1813e+07
  8.7739e-01   8.6725e-01  -1.6424e-01  -6.4330e-03   4.0843e-03   1.9749e+07   1.9749e+07
