## {'tot': 117289928.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.2599e-04  -7.1213e+00   1.5942e+00   1.2659e-01   7.0100e+02   7.0100e+02
  1.6264e-03   1.7882e-03  -6.3491e+00   9.3697e-01   1.0335e-01   2.4660e+03   2.4660e+03
  3.5704e-03   3.9797e-03  -5.5469e+00   5.4963e-01   7.2940e-02   9.2040e+03   9.2040e+03
  7.8381e-03   8.7381e-03  -4.7604e+00   2.8811e-01   6.2094e-02   3.4928e+04   3.4928e+04
  1.7207e-02   1.9236e-02  -3.9712e+00   1.6861e-01   5.4123e-02   1.4290e+05   1.4290e+05
  3.7775e-02   4.2348e-02  -3.1820e+00   9.1045e-02   3.3306e-02   6.0144e+05   6.0144e+05
  8.2928e-02   9.2951e-02  -2.3962e+00   4.6342e-02   2.2920e-02   2.5510e+06   2.5510e+06
  1.8205e-01   2.0363e-01  -1.6128e+00   1.5117e-02   1.4488e-02   1.0570e+07   1.0570e+07
  3.9967e-01   4.4011e-01  -8.4366e-01  -1.9969e-03   5.9334e-03   3.7432e+07   3.7432e+07
  8.7739e-01   8.6885e-01  -1.6244e-01  -5.8042e-03   3.5315e-03   6.3093e+07   6.3093e+07
