## {'tot': 291084.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   7.8260e-04  -7.1658e+00   4.9508e+00   2.4649e+00   4.0000e+00   4.0000e+00
  1.6264e-03   1.6656e-03  -6.4215e+00   2.1719e+00   1.3467e+00   1.0000e+01   1.0000e+01
  3.5704e-03   4.0640e-03  -5.5273e+00   2.0009e+00   5.9868e-01   4.4000e+01   4.4000e+01
  7.8381e-03   8.7045e-03  -4.7692e+00   6.1533e-01   2.0156e-01   1.0900e+02   1.0900e+02
  1.7207e-02   1.9037e-02  -3.9838e+00   2.6465e-01   1.2418e-01   3.8500e+02   3.8500e+02
  3.7775e-02   4.1946e-02  -3.1942e+00   1.5159e-01   7.1497e-02   1.5690e+03   1.5690e+03
  8.2928e-02   9.2615e-02  -2.4018e+00   9.5989e-02   6.1755e-02   6.6850e+03   6.6850e+03
  1.8205e-01   2.0274e-01  -1.6184e+00   1.3290e-02   2.4307e-02   2.5873e+04   2.5873e+04
  3.9967e-01   4.3894e-01  -8.4665e-01  -1.1392e-02   1.2849e-02   9.1020e+04   9.1020e+04
  8.7739e-01   8.6766e-01  -1.6386e-01  -5.9031e-03   8.3568e-03   1.5785e+05   1.5785e+05
