## {'tot': 937661512.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.3905e-04  -7.1041e+00   6.9171e-01   4.0614e-02   3.6390e+03   3.6390e+03
  1.6264e-03   1.8030e-03  -6.3395e+00   4.8195e-01   3.7061e-02   1.5051e+04   1.5051e+04
  3.5704e-03   3.9891e-03  -5.5442e+00   2.7368e-01   3.2896e-02   6.0534e+04   6.0534e+04
  7.8381e-03   8.7663e-03  -4.7568e+00   1.6962e-01   3.1777e-02   2.5391e+05   2.5391e+05
  1.7207e-02   1.9285e-02  -3.9686e+00   9.9360e-02   2.7624e-02   1.0781e+06   1.0781e+06
  3.7775e-02   4.2398e-02  -3.1809e+00   5.6022e-02   1.8294e-02   4.6698e+06   4.6698e+06
  8.2928e-02   9.3051e-02  -2.3952e+00   3.2250e-02   1.2565e-02   2.0239e+07   2.0239e+07
  1.8205e-01   2.0372e-01  -1.6123e+00   1.1608e-02   8.1671e-03   8.4594e+07   8.4594e+07
  3.9967e-01   4.4033e-01  -8.4311e-01  -4.5191e-04   3.7040e-03   3.0108e+08   3.0108e+08
  8.7739e-01   8.6853e-01  -1.6279e-01  -4.9347e-03   2.7303e-03   5.0396e+08   5.0396e+08
