## {'tot': 9914604.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.3438e-04  -7.1090e+00   3.8670e+00   3.8399e-01   1.1100e+02   1.1100e+02
  1.6264e-03   1.7895e-03  -6.3485e+00   1.8336e+00   1.8332e-01   3.0500e+02   3.0500e+02
  3.5704e-03   3.9639e-03  -5.5520e+00   8.8059e-01   7.3396e-02   9.4600e+02   9.4600e+02
  7.8381e-03   8.6503e-03  -4.7713e+00   4.2393e-01   8.2105e-02   3.2730e+03   3.2730e+03
  1.7207e-02   1.9215e-02  -3.9720e+00   2.1492e-01   7.1399e-02   1.2592e+04   1.2592e+04
  3.7775e-02   4.2201e-02  -3.1854e+00   9.4069e-02   4.0194e-02   5.1177e+04   5.1177e+04
  8.2928e-02   9.2873e-02  -2.3970e+00   5.6178e-02   2.5729e-02   2.1840e+05   2.1840e+05
  1.8205e-01   2.0348e-01  -1.6141e+00   1.6482e-02   1.3314e-02   9.0144e+05   9.0144e+05
  3.9967e-01   4.3966e-01  -8.4485e-01  -3.8809e-03   7.4831e-03   3.1714e+06   3.1714e+06
  8.7739e-01   8.6680e-01  -1.6473e-01  -6.1788e-03   4.1294e-03   5.3236e+06   5.3236e+06
