## {'tot': 365445612.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.3908e-04  -7.1044e+00   1.0809e+00   7.1659e-02   1.7420e+03   1.7420e+03
  1.6264e-03   1.7957e-03  -6.3439e+00   7.1046e-01   7.5870e-02   6.7690e+03   6.7690e+03
  3.5704e-03   3.9819e-03  -5.5461e+00   3.9368e-01   5.6105e-02   2.5799e+04   2.5799e+04
  7.8381e-03   8.7555e-03  -4.7582e+00   2.3339e-01   5.3238e-02   1.0428e+05   1.0428e+05
  1.7207e-02   1.9261e-02  -3.9699e+00   1.3777e-01   4.6281e-02   4.3330e+05   4.3330e+05
  3.7775e-02   4.2371e-02  -3.1815e+00   7.4296e-02   2.8436e-02   1.8448e+06   1.8448e+06
  8.2928e-02   9.3008e-02  -2.3956e+00   3.9682e-02   1.7800e-02   7.8946e+06   7.8946e+06
  1.8205e-01   2.0365e-01  -1.6127e+00   1.1435e-02   1.0967e-02   3.2745e+07   3.2745e+07
  3.9967e-01   4.4036e-01  -8.4306e-01  -1.2213e-03   4.7936e-03   1.1649e+08   1.1649e+08
  8.7739e-01   8.6980e-01  -1.6140e-01  -4.7428e-03   2.9076e-03   1.9704e+08   1.9704e+08
