## {'tot': 474320000.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.1500e-04  -7.1351e+00   1.1418e+00   5.7698e-02   2.3340e+03   2.3340e+03
  1.6264e-03   1.7994e-03  -6.3416e+00   5.3237e-01   3.1552e-02   7.8740e+03   7.8740e+03
  3.5704e-03   3.9845e-03  -5.5457e+00   2.2610e-01   1.6419e-02   2.9420e+04   2.9420e+04
  7.8381e-03   8.7654e-03  -4.7571e+00   1.0272e-01   8.9075e-03   1.2065e+05   1.2065e+05
  1.7207e-02   1.9302e-02  -3.9676e+00   5.4373e-02   5.6975e-03   5.2135e+05   5.2135e+05
  3.7775e-02   4.2375e-02  -3.1815e+00   2.8151e-02   3.7418e-03   2.2822e+06   2.2822e+06
  8.2928e-02   9.3134e-02  -2.3942e+00   1.0949e-02   3.8620e-03   9.9909e+06   9.9909e+06
  1.8205e-01   2.0373e-01  -1.6122e+00   1.6290e-03   2.3200e-03   4.2185e+07   4.2185e+07
  3.9967e-01   4.4035e-01  -8.4290e-01  -1.9182e-03   1.2702e-03   1.5040e+08   1.5040e+08
  8.7739e-01   8.7223e-01  -1.5842e-01   1.4595e-04   7.0533e-04   2.5787e+08   2.5787e+08
