## {'tot': 145487682.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.1310e-04  -7.1368e+00   1.7222e+00   9.7642e-02   9.1100e+02   9.1100e+02
  1.6264e-03   1.7889e-03  -6.3481e+00   7.5695e-01   6.3737e-02   2.7730e+03   2.7730e+03
  3.5704e-03   3.9712e-03  -5.5500e+00   3.2477e-01   3.1388e-02   9.7470e+03   9.7470e+03
  7.8381e-03   8.7486e-03  -4.7592e+00   1.4509e-01   1.3694e-02   3.8473e+04   3.8473e+04
  1.7207e-02   1.9281e-02  -3.9688e+00   6.7663e-02   8.5876e-03   1.6203e+05   1.6203e+05
  3.7775e-02   4.2371e-02  -3.1815e+00   3.4434e-02   4.5645e-03   7.0174e+05   7.0174e+05
  8.2928e-02   9.3131e-02  -2.3941e+00   1.5588e-02   4.8214e-03   3.0607e+06   3.0607e+06
  1.8205e-01   2.0370e-01  -1.6124e+00   1.3190e-03   3.5274e-03   1.2841e+07   1.2841e+07
  3.9967e-01   4.4048e-01  -8.4264e-01  -1.5805e-03   1.5991e-03   4.5780e+07   4.5780e+07
  8.7739e-01   8.7383e-01  -1.5663e-01  -1.8895e-04   9.8642e-04   7.9437e+07   7.9437e+07
