## {'tot': 5229378.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.2846e-04  -7.1187e+00   4.5769e+00   4.2136e-01   6.7000e+01   6.7000e+01
  1.6264e-03   1.7978e-03  -6.3443e+00   1.6829e+00   2.4762e-01   1.5100e+02   1.5100e+02
  3.5704e-03   3.9054e-03  -5.5672e+00   7.5402e-01   1.2796e-01   4.6300e+02   4.6300e+02
  7.8381e-03   8.6808e-03  -4.7688e+00   2.6817e-01   5.3243e-02   1.5380e+03   1.5380e+03
  1.7207e-02   1.9238e-02  -3.9711e+00   1.2634e-01   2.6575e-02   6.1650e+03   6.1650e+03
  3.7775e-02   4.2405e-02  -3.1804e+00   6.5951e-02   1.1674e-02   2.5917e+04   2.5917e+04
  8.2928e-02   9.3361e-02  -2.3917e+00   3.6343e-02   1.3628e-02   1.1228e+05   1.1228e+05
  1.8205e-01   2.0358e-01  -1.6137e+00   1.2048e-02   1.2287e-02   4.6616e+05   4.6616e+05
  3.9967e-01   4.4022e-01  -8.4334e-01  -4.3286e-03   4.3110e-03   1.6364e+06   1.6364e+06
  8.7739e-01   8.7233e-01  -1.5817e-01  -2.0719e-03   3.3862e-03   2.8669e+06   2.8669e+06
