logM Fi dFi
8.76502 0.008300805226848547 0.0005934515941098914
9.01502 0.007566795090607377 0.0005393841540775019
9.26502 0.006435461474773236 0.0004619054348795767
9.51502 0.005221601398293972 0.0003854445851815287
9.76502 0.0038971718891057045 0.00030641346303380754
10.01502 0.0030654974604684268 0.0002638277003999993
10.26502 0.002585562024289496 0.00025092641507618973
10.51502 0.0020719750216339127 0.00023430378553446936
10.76502 0.0016200825575188602 0.00021901284467751216
11.01502 0.0009422438613462805 0.00015525210570068723
11.26502 0.0003829868756152399 7.939153945962688e-05
11.51502 9.855101611019772e-05 2.75391672763594e-05
11.76502 4.80736663952184e-06 3.3245721434883397e-06
12.01502 8.0122777325364e-07 1.6721488258136264e-06
