## {'tot': 1386590460.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.1863e-04  -7.1303e+00   7.6770e-01   2.4554e-02   5.6390e+03   5.6390e+03
  1.6264e-03   1.8083e-03  -6.3364e+00   3.4823e-01   1.6399e-02   2.0307e+04   2.0307e+04
  3.5704e-03   3.9869e-03  -5.5450e+00   1.5550e-01   1.0756e-02   8.1166e+04   8.1166e+04
  7.8381e-03   8.7821e-03  -4.7550e+00   8.4700e-02   5.4969e-03   3.4789e+05   3.4789e+05
  1.7207e-02   1.9315e-02  -3.9669e+00   4.6886e-02   3.9562e-03   1.5209e+06   1.5209e+06
  3.7775e-02   4.2411e-02  -3.1806e+00   2.4104e-02   3.3121e-03   6.6878e+06   6.6878e+06
  8.2928e-02   9.3145e-02  -2.3941e+00   1.0664e-02   2.7539e-03   2.9433e+07   2.9433e+07
  1.8205e-01   2.0378e-01  -1.6119e+00   1.9453e-03   1.8336e-03   1.2464e+08   1.2464e+08
  3.9967e-01   4.4031e-01  -8.4297e-01  -2.0840e-03   1.5760e-03   4.4515e+08   4.4515e+08
  8.7739e-01   8.6998e-01  -1.6092e-01   2.0859e-05   1.0109e-03   7.4880e+08   7.4880e+08
