## {'tot': 648660.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.8066e-04  -7.0519e+00   7.7090e+00   2.5973e+00   1.3000e+01   1.3000e+01
  1.6264e-03   1.8014e-03  -6.3419e+00   2.8699e+00   7.4106e-01   2.7000e+01   2.7000e+01
  3.5704e-03   3.7107e-03  -5.6215e+00   1.2936e+00   3.4813e-01   7.5000e+01   7.5000e+01
  7.8381e-03   8.4049e-03  -4.8026e+00   1.6344e-01   6.6118e-02   1.7500e+02   1.7500e+02
  1.7207e-02   1.9329e-02  -3.9683e+00   2.0371e-01   8.1253e-02   8.1200e+02   8.1200e+02
  3.7775e-02   4.2456e-02  -3.1801e+00   1.1175e-01   3.3570e-02   3.3670e+03   3.3670e+03
  8.2928e-02   9.3349e-02  -2.3932e+00   3.2111e-02   2.3879e-02   1.4006e+04   1.4006e+04
  1.8205e-01   2.0328e-01  -1.6158e+00   1.9040e-02   1.8944e-02   5.8418e+04   5.8418e+04
  3.9967e-01   4.4041e-01  -8.4297e-01  -5.7505e-03   5.5679e-03   2.0207e+05   2.0207e+05
  8.7739e-01   8.7187e-01  -1.5868e-01  -3.9676e-03   5.4127e-03   3.5586e+05   3.5586e+05
