## {'tot': 38746404.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.2239e-04  -7.1264e+00   2.5140e+00   1.9666e-01   3.1300e+02   3.1300e+02
  1.6264e-03   1.7700e-03  -6.3593e+00   1.0502e+00   9.4655e-02   8.5900e+02   8.5900e+02
  3.5704e-03   3.9568e-03  -5.5540e+00   4.1945e-01   5.4884e-02   2.7850e+03   2.7850e+03
  7.8381e-03   8.7169e-03  -4.7635e+00   1.7778e-01   2.5926e-02   1.0559e+04   1.0559e+04
  1.7207e-02   1.9220e-02  -3.9719e+00   7.8183e-02   1.1618e-02   4.3533e+04   4.3533e+04
  3.7775e-02   4.2356e-02  -3.1819e+00   4.4832e-02   7.7003e-03   1.8788e+05   1.8788e+05
  8.2928e-02   9.3133e-02  -2.3940e+00   1.7828e-02   7.1049e-03   8.1402e+05   8.1402e+05
  1.8205e-01   2.0368e-01  -1.6127e+00   2.2919e-03   5.4481e-03   3.4079e+06   3.4079e+06
  3.9967e-01   4.4042e-01  -8.4281e-01  -2.3068e-03   2.5201e-03   1.2145e+07   1.2145e+07
  8.7739e-01   8.7395e-01  -1.5647e-01  -4.5770e-04   1.6849e-03   2.1212e+07   2.1212e+07
