## {'tot': 12882888.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.1229e-04  -7.1356e+00   2.9662e+00   4.8348e-01   1.1800e+02   1.1800e+02
  1.6264e-03   1.7966e-03  -6.3457e+00   9.8132e-01   1.5991e-01   2.7700e+02   2.7700e+02
  3.5704e-03   3.9044e-03  -5.5672e+00   2.8111e-01   5.3166e-02   8.3600e+02   8.3600e+02
  7.8381e-03   8.7548e-03  -4.7587e+00   1.3646e-01   2.7965e-02   3.4010e+03   3.4010e+03
  1.7207e-02   1.9249e-02  -3.9704e+00   8.0960e-02   1.1149e-02   1.4629e+04   1.4629e+04
  3.7775e-02   4.2399e-02  -3.1805e+00   4.3748e-02   9.6577e-03   6.3849e+04   6.3849e+04
  8.2928e-02   9.2756e-02  -2.3982e+00   1.4877e-02   7.3987e-03   2.7356e+05   2.7356e+05
  1.8205e-01   2.0393e-01  -1.6117e+00   9.8362e-04   3.1777e-03   1.1433e+06   1.1433e+06
  3.9967e-01   4.4078e-01  -8.4209e-01  -3.3571e-03   2.2291e-03   4.0894e+06   4.0894e+06
  8.7739e-01   8.7435e-01  -1.5643e-01  -3.7642e-06   1.3748e-03   6.9910e+06   6.9910e+06
