logM Fi dFi
9.07503 0.004231279942681378 0.0003842166129502816
9.32503 0.0035656008080042017 0.0003355626823575951
9.57503 0.0027312774374292498 0.00027535230225736473
9.82503 0.0018217859920328797 0.00020377599663913345
10.07503 0.0012222508679919837 0.00015709186719600616
10.32503 0.0008687464143615437 0.00013176974242449762
10.57503 0.0006427353702371639 0.00011771287117345414
10.82503 0.00047467587588826614 0.00013527324682166214
11.07503 0.0001954547724245802 5.974656792049094e-05
11.32503 6.480036929440258e-05 2.473472355527159e-05
11.57503 5.268322706861999e-06 4.321612501285022e-06
