## {'tot': 450990544.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.1598e-04  -7.1341e+00   9.1831e-01   4.8395e-02   2.0000e+03   2.0000e+03
  1.6264e-03   1.8046e-03  -6.3390e+00   2.9265e-01   1.6761e-02   6.3430e+03   6.3430e+03
  3.5704e-03   3.9811e-03  -5.5467e+00   1.2390e-01   1.1075e-02   2.5621e+04   2.5621e+04
  7.8381e-03   8.7740e-03  -4.7559e+00   7.2458e-02   5.8431e-03   1.1148e+05   1.1148e+05
  1.7207e-02   1.9313e-02  -3.9670e+00   4.6145e-02   5.9798e-03   4.9179e+05   4.9179e+05
  3.7775e-02   4.2430e-02  -3.1801e+00   2.3183e-02   4.2971e-03   2.1785e+06   2.1785e+06
  8.2928e-02   9.2946e-02  -2.3962e+00   7.5676e-03   2.8310e-03   9.4900e+06   9.4900e+06
  1.8205e-01   2.0377e-01  -1.6120e+00   2.2871e-04   1.7428e-03   3.9700e+07   3.9700e+07
  3.9967e-01   4.4071e-01  -8.4208e-01  -1.5424e-03   1.1821e-03   1.4324e+08   1.4324e+08
  8.7739e-01   8.7480e-01  -1.5599e-01   3.9152e-04   5.9122e-04   2.4496e+08   2.4496e+08
