## {'tot': 1681778.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   7.2328e-04  -7.2413e+00   5.6799e+00   1.8411e+00   2.6000e+01   2.6000e+01
  1.6264e-03   1.7587e-03  -6.3682e+00   1.6309e+00   4.2867e-01   4.8000e+01   4.8000e+01
  3.5704e-03   3.9112e-03  -5.5641e+00   7.2834e-01   1.6706e-01   1.4700e+02   1.4700e+02
  7.8381e-03   8.8578e-03  -4.7474e+00   3.1373e-01   7.6251e-02   5.1300e+02   5.1300e+02
  1.7207e-02   1.9210e-02  -3.9725e+00   4.7538e-02   3.5067e-02   1.8570e+03   1.8570e+03
  3.7775e-02   4.2542e-02  -3.1771e+00   4.4124e-02   1.8661e-02   8.3330e+03   8.3330e+03
  8.2928e-02   9.2833e-02  -2.3990e+00   1.6256e-02   1.4707e-02   3.6351e+04   3.6351e+04
  1.8205e-01   2.0329e-01  -1.6156e+00   4.1287e-04   6.0063e-03   1.5006e+05   1.5006e+05
  3.9967e-01   4.4037e-01  -8.4307e-01  -5.7143e-03   3.9031e-03   5.3676e+05   5.3676e+05
  8.7739e-01   8.7230e-01  -1.5860e-01   4.6240e-05   1.7836e-03   9.1109e+05   9.1109e+05
