## {'tot': 13671220.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.6177e-04  -7.0750e+00   2.4589e+00   3.5086e-01   1.0900e+02   1.0900e+02
  1.6264e-03   1.8088e-03  -6.3358e+00   1.4099e+00   1.1457e-01   3.5700e+02   3.5700e+02
  3.5704e-03   3.9387e-03  -5.5589e+00   6.6725e-01   7.0194e-02   1.1530e+03   1.1530e+03
  7.8381e-03   8.6512e-03  -4.7710e+00   4.0769e-01   5.2862e-02   4.4530e+03   4.4530e+03
  1.7207e-02   1.9151e-02  -3.9759e+00   1.8806e-01   4.6929e-02   1.6908e+04   1.6908e+04
  3.7775e-02   4.2155e-02  -3.1868e+00   7.2816e-02   2.2189e-02   6.8285e+04   6.8285e+04
  8.2928e-02   9.3135e-02  -2.3940e+00   1.1834e-02   8.9981e-03   2.8762e+05   2.8762e+05
  1.8205e-01   2.0382e-01  -1.6123e+00   7.7454e-03   7.0251e-03   1.2238e+06   1.2238e+06
  3.9967e-01   4.4044e-01  -8.4281e-01   2.9769e-03   2.9207e-03   4.3955e+06   4.3955e+06
  8.7739e-01   8.6983e-01  -1.6138e-01  -4.1483e-03   2.2315e-03   7.3731e+06   7.3731e+06
