## {'tot': 115885088.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.4966e-04  -7.0911e+00   8.6374e-01   9.8497e-02   4.9900e+02   4.9900e+02
  1.6264e-03   1.8031e-03  -6.3397e+00   7.6856e-01   4.3001e-02   2.2110e+03   2.2110e+03
  3.5704e-03   3.9695e-03  -5.5498e+00   4.3005e-01   3.3822e-02   8.3610e+03   8.3610e+03
  7.8381e-03   8.7495e-03  -4.7587e+00   2.6244e-01   2.3979e-02   3.3778e+04   3.3778e+04
  1.7207e-02   1.9216e-02  -3.9722e+00   1.3492e-01   1.9220e-02   1.3706e+05   1.3706e+05
  3.7775e-02   4.2306e-02  -3.1831e+00   5.0636e-02   1.1188e-02   5.6846e+05   5.6846e+05
  8.2928e-02   9.3108e-02  -2.3944e+00   1.2632e-02   7.0628e-03   2.4438e+06   2.4438e+06
  1.8205e-01   2.0376e-01  -1.6122e+00   6.6597e-03   6.7357e-03   1.0439e+07   1.0439e+07
  3.9967e-01   4.4003e-01  -8.4369e-01   2.3886e-03   2.9484e-03   3.7556e+07   3.7556e+07
  8.7739e-01   8.6822e-01  -1.6309e-01  -3.7334e-03   2.4237e-03   6.2268e+07   6.2268e+07
