## {'tot': 49990000.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.3259e-04  -7.1122e+00   1.2910e+00   1.6438e-01   2.6400e+02   2.6400e+02
  1.6264e-03   1.8063e-03  -6.3369e+00   9.7706e-01   8.0514e-02   1.0690e+03   1.0690e+03
  3.5704e-03   3.9674e-03  -5.5509e+00   5.2575e-01   3.7668e-02   3.8550e+03   3.8550e+03
  7.8381e-03   8.7145e-03  -4.7629e+00   3.3105e-01   3.7046e-02   1.5364e+04   1.5364e+04
  1.7207e-02   1.9194e-02  -3.9735e+00   1.5498e-01   2.9617e-02   5.9968e+04   5.9968e+04
  3.7775e-02   4.2263e-02  -3.1841e+00   6.1639e-02   1.6203e-02   2.4713e+05   2.4713e+05
  8.2928e-02   9.3085e-02  -2.3947e+00   1.2956e-02   8.4722e-03   1.0504e+06   1.0504e+06
  1.8205e-01   2.0379e-01  -1.6122e+00   8.1038e-03   7.7168e-03   4.4903e+06   4.4903e+06
  3.9967e-01   4.4007e-01  -8.4360e-01   2.6256e-03   3.2781e-03   1.6149e+07   1.6149e+07
  8.7739e-01   8.6861e-01  -1.6271e-01  -4.3871e-03   2.6839e-03   2.6892e+07   2.6892e+07
