logM Fi dFi
8.29501 0.02550178653081584 0.002498688490953157
8.54501 0.020451237810574452 0.002096414269356615
8.79501 0.016234426506148276 0.001671149378290841
9.04501 0.01306211508916926 0.0013787041548729117
9.29501 0.009770281712266998 0.0010238247323523049
9.54501 0.007615809334690171 0.0009925978399358746
9.79501 0.006137741075654908 0.0010897240801447678
10.04501 0.005085556891256924 0.0006094596984947096
10.29501 0.004183684733201508 0.0005363434633527136
10.54501 0.0038880710813944553 0.000540961975950257
10.79501 0.002820855694362214 0.0004475202386844134
11.04501 0.0014930994616695202 0.00027869556947776494
11.29501 0.0005110608895647353 0.00012427063803559287
11.54501 0.00011523922019596973 4.436778874977493e-05
11.79501 5.010400878085639e-06 5.1715624302091935e-06
