## {'tot': 1117512.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.6213e-04  -7.0690e+00   4.0512e+00   1.4703e+00   1.3000e+01   1.3000e+01
  1.6264e-03   1.8266e-03  -6.3266e+00   2.1335e+00   5.8440e-01   3.8000e+01   3.8000e+01
  3.5704e-03   3.8500e-03  -5.5831e+00   7.6826e-01   1.9946e-01   1.0000e+02   1.0000e+02
  7.8381e-03   8.4446e-03  -4.7956e+00   6.0844e-01   1.1059e-01   4.1600e+02   4.1600e+02
  1.7207e-02   1.9095e-02  -3.9793e+00   2.3972e-01   1.0579e-01   1.4510e+03   1.4510e+03
  3.7775e-02   4.1869e-02  -3.1950e+00   6.4465e-02   5.1982e-02   5.5640e+03   5.5640e+03
  8.2928e-02   9.3389e-02  -2.3927e+00   2.1901e-02   1.8514e-02   2.3677e+04   2.3677e+04
  1.8205e-01   2.0352e-01  -1.6145e+00   8.6372e-03   1.2101e-02   1.0107e+05   1.0107e+05
  3.9967e-01   4.3985e-01  -8.4430e-01   2.6260e-03   4.7944e-03   3.6652e+05   3.6652e+05
  8.7739e-01   8.6697e-01  -1.6490e-01  -4.6342e-03   3.6775e-03   5.9293e+05   5.9293e+05
