## {'tot': 269468112.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.4620e-04  -7.0951e+00   6.0852e-01   5.7764e-02   9.9800e+02   9.9800e+02
  1.6264e-03   1.8016e-03  -6.3401e+00   5.6341e-01   2.9369e-02   4.5480e+03   4.5480e+03
  3.5704e-03   3.9815e-03  -5.5465e+00   3.2357e-01   2.2334e-02   1.8014e+04   1.8014e+04
  7.8381e-03   8.7588e-03  -4.7577e+00   1.9411e-01   1.9434e-02   7.4445e+04   7.4445e+04
  1.7207e-02   1.9257e-02  -3.9700e+00   1.0953e-01   1.4293e-02   3.1264e+05   3.1264e+05
  3.7775e-02   4.2327e-02  -3.1826e+00   4.0942e-02   8.5523e-03   1.3163e+06   1.3163e+06
  8.2928e-02   9.3100e-02  -2.3945e+00   1.2872e-02   5.4175e-03   5.7091e+06   5.7091e+06
  1.8205e-01   2.0381e-01  -1.6119e+00   5.8622e-03   6.0078e-03   2.4365e+07   2.4365e+07
  3.9967e-01   4.4014e-01  -8.4342e-01   2.1337e-03   2.1963e-03   8.7666e+07   8.7666e+07
  8.7739e-01   8.6768e-01  -1.6371e-01  -3.3312e-03   2.0317e-03   1.4449e+08   1.4449e+08
